x dist ,y dist ,func value
0 ,0 ,1.34993e-12
0 ,0.0322581 ,4.93939e-12
0 ,0.0645161 ,2.38586e-11
0 ,0.0967742 ,1.03474e-10
0 ,0.129032 ,4.00769e-10
0 ,0.16129 ,1.38734e-09
0 ,0.193548 ,4.29605e-09
0 ,0.225806 ,1.19103e-08
0 ,0.258065 ,2.95863e-08
0 ,0.290323 ,6.59039e-08
0 ,0.322581 ,1.31736e-07
0 ,0.354839 ,2.36472e-07
0 ,0.387097 ,3.81442e-07
0 ,0.419355 ,5.5327e-07
0 ,0.451613 ,7.2207e-07
0 ,0.483871 ,8.48447e-07
0 ,0.516129 ,8.98129e-07
0 ,0.548387 ,8.57008e-07
0 ,0.580645 ,7.37614e-07
0 ,0.612903 ,5.72981e-07
0 ,0.645161 ,4.01968e-07
0 ,0.677419 ,2.5484e-07
0 ,0.709677 ,1.46104e-07
0 ,0.741935 ,7.58028e-08
0 ,0.774194 ,3.56172e-08
0 ,0.806452 ,1.5168e-08
0 ,0.83871 ,5.85942e-09
0 ,0.870968 ,2.05513e-09
0 ,0.903226 ,6.5448e-10
0 ,0.935484 ,1.93777e-10
0 ,0.967742 ,6.6148e-11
0 ,1 ,4.71828e-12
0.0322581 ,0 ,4.93939e-12
0.0322581 ,0.0322581 ,1.15284e-11
0.0322581 ,0.0645161 ,5.88116e-11
0.0322581 ,0.0967742 ,2.70508e-10
0.0322581 ,0.129032 ,1.10184e-09
0.0322581 ,0.16129 ,3.98353e-09
0.0322581 ,0.193548 ,1.28105e-08
0.0322581 ,0.225806 ,3.67137e-08
0.0322581 ,0.258065 ,9.39211e-08
0.0322581 ,0.290323 ,2.14783e-07
0.0322581 ,0.322581 ,4.39648e-07
0.0322581 ,0.354839 ,8.0646e-07
0.0322581 ,0.387097 ,1.32709e-06
0.0322581 ,0.419355 ,1.96103e-06
0.0322581 ,0.451613 ,2.60457e-06
0.0322581 ,0.483871 ,3.11194e-06
0.0322581 ,0.516129 ,3.34758e-06
0.0322581 ,0.548387 ,3.24478e-06
0.0322581 ,0.580645 ,2.83617e-06
0.0322581 ,0.612903 ,2.23722e-06
0.0322581 ,0.645161 ,1.59385e-06
0.0322581 ,0.677419 ,1.02634e-06
0.0322581 ,0.709677 ,5.97833e-07
0.0322581 ,0.741935 ,3.15257e-07
0.0322581 ,0.774194 ,1.50629e-07
0.0322581 ,0.806452 ,6.52655e-08
0.0322581 ,0.83871 ,2.56673e-08
0.0322581 ,0.870968 ,9.17108e-09
0.0322581 ,0.903226 ,2.97683e-09
0.0322581 ,0.935484 ,9.00299e-10
0.0322581 ,0.967742 ,3.15062e-10
0.0322581 ,1 ,2.66229e-11
0.0645161 ,0 ,2.38586e-11
0.0645161 ,0.0322581 ,5.88116e-11
0.0645161 ,0.0645161 ,3.01249e-10
0.0645161 ,0.0967742 ,1.38824e-09
0.0645161 ,0.129032 ,5.66322e-09
0.0645161 ,0.16129 ,2.05005e-08
0.0645161 ,0.193548 ,6.59976e-08
0.0645161 ,0.225806 ,1.89316e-07
0.0645161 ,0.258065 ,4.84691e-07
0.0645161 ,0.290323 ,1.10918e-06
0.0645161 ,0.322581 ,2.27182e-06
0.0645161 ,0.354839 ,4.16957e-06
0.0645161 ,0.387097 ,6.86477e-06
0.0645161 ,0.419355 ,1.01487e-05
0.0645161 ,0.451613 ,1.34849e-05
0.0645161 ,0.483871 ,1.61182e-05
0.0645161 ,0.516129 ,1.73454e-05
0.0645161 ,0.548387 ,1.68189e-05
0.0645161 ,0.580645 ,1.47062e-05
0.0645161 ,0.612903 ,1.16046e-05
0.0645161 ,0.645161 ,8.27035e-06
0.0645161 ,0.677419 ,5.32746e-06
0.0645161 ,0.709677 ,3.10429e-06
0.0645161 ,0.741935 ,1.63758e-06
0.0645161 ,0.774194 ,7.82718e-07
0.0645161 ,0.806452 ,3.39268e-07
0.0645161 ,0.83871 ,1.33477e-07
0.0645161 ,0.870968 ,4.77107e-08
0.0645161 ,0.903226 ,1.54907e-08
0.0645161 ,0.935484 ,4.70537e-09
0.0645161 ,0.967742 ,1.35233e-09
0.0645161 ,1 ,1.21248e-10
0.0967742 ,0 ,1.03474e-10
0.0967742 ,0.0322581 ,2.70508e-10
0.0967742 ,0.0645161 ,1.38824e-09
0.0967742 ,0.0967742 ,6.39734e-09
0.0967742 ,0.129032 ,2.60969e-08
0.0967742 ,0.16129 ,9.44667e-08
0.0967742 ,0.193548 ,3.04112e-07
0.0967742 ,0.225806 ,8.72334e-07
0.0967742 ,0.258065 ,2.23333e-06
0.0967742 ,0.290323 ,5.11074e-06
0.0967742 ,0.322581 ,1.04676e-05
0.0967742 ,0.354839 ,1.92114e-05
0.0967742 ,0.387097 ,3.16291e-05
0.0967742 ,0.419355 ,4.67589e-05
0.0967742 ,0.451613 ,6.21291e-05
0.0967742 ,0.483871 ,7.42608e-05
0.0967742 ,0.516129 ,7.99136e-05
0.0967742 ,0.548387 ,7.7487e-05
0.0967742 ,0.580645 ,6.77526e-05
0.0967742 ,0.612903 ,5.34625e-05
0.0967742 ,0.645161 ,3.8101e-05
0.0967742 ,0.677419 ,2.45429e-05
0.0967742 ,0.709677 ,1.43008e-05
0.0967742 ,0.741935 ,7.5439e-06
0.0967742 ,0.774194 ,3.6057e-06
0.0967742 ,0.806452 ,1.56286e-06
0.0967742 ,0.83871 ,6.14856e-07
0.0967742 ,0.870968 ,2.19774e-07
0.0967742 ,0.903226 ,7.1348e-08
0.0967742 ,0.935484 ,2.17376e-08
0.0967742 ,0.967742 ,5.23092e-09
0.0967742 ,1 ,4.94436e-10
0.129032 ,0 ,4.00769e-10
0.129032 ,0.0322581 ,1.10184e-09
0.129032 ,0.0645161 ,5.66322e-09
0.129032 ,0.0967742 ,2.60969e-08
0.129032 ,0.129032 ,1.06454e-07
0.129032 ,0.16129 ,3.85332e-07
0.129032 ,0.193548 ,1.24044e-06
0.129032 ,0.225806 ,3.55805e-06
0.129032 ,0.258065 ,9.109e-06
0.129032 ,0.290323 ,2.08445e-05
0.129032 ,0.322581 ,4.26919e-05
0.129032 ,0.354839 ,7.83515e-05
0.129032 ,0.387097 ,0.000128993
0.129032 ,0.419355 ,0.000190694
0.129032 ,0.451613 ,0.000253373
0.129032 ,0.483871 ,0.000302843
0.129032 ,0.516129 ,0.00032589
0.129032 ,0.548387 ,0.000315989
0.129032 ,0.580645 ,0.000276288
0.129032 ,0.612903 ,0.000218011
0.129032 ,0.645161 ,0.000155367
0.129032 ,0.677419 ,0.000100078
0.129032 ,0.709677 ,5.83133e-05
0.129032 ,0.741935 ,3.07605e-05
0.129032 ,0.774194 ,1.47021e-05
0.129032 ,0.806452 ,6.37234e-06
0.129032 ,0.83871 ,2.50693e-06
0.129032 ,0.870968 ,8.96058e-07
0.129032 ,0.903226 ,2.9087e-07
0.129032 ,0.935484 ,8.88282e-08
0.129032 ,0.967742 ,1.8234e-08
0.129032 ,1 ,1.80985e-09
0.16129 ,0 ,1.38734e-09
0.16129 ,0.0322581 ,3.98353e-09
0.16129 ,0.0645161 ,2.05005e-08
0.16129 ,0.0967742 ,9.44667e-08
0.16129 ,0.129032 ,3.85332e-07
0.16129 ,0.16129 ,1.39475e-06
0.16129 ,0.193548 ,4.48976e-06
0.16129 ,0.225806 ,1.2878e-05
0.16129 ,0.258065 ,3.29684e-05
0.16129 ,0.290323 ,7.54413e-05
0.16129 ,0.322581 ,0.000154509
0.16129 ,0.354839 ,0.000283562
0.16129 ,0.387097 ,0.000466832
0.16129 ,0.419355 ,0.000690118
0.16129 ,0.451613 ,0.000916937
0.16129 ,0.483871 ,0.00109595
0.16129 ,0.516129 ,0.00117934
0.16129 ,0.548387 ,0.00114349
0.16129 ,0.580645 ,0.000999806
0.16129 ,0.612903 ,0.000788907
0.16129 ,0.645161 ,0.000562211
0.16129 ,0.677419 ,0.000362138
0.16129 ,0.709677 ,0.000211006
0.16129 ,0.741935 ,0.000111304
0.16129 ,0.774194 ,5.31974e-05
0.16129 ,0.806452 ,2.3057e-05
0.16129 ,0.83871 ,9.07063e-06
0.16129 ,0.870968 ,3.24207e-06
0.16129 ,0.903226 ,1.05232e-06
0.16129 ,0.935484 ,3.21975e-07
0.16129 ,0.967742 ,5.72786e-08
0.16129 ,1 ,5.94892e-09
0.193548 ,0 ,4.29605e-09
0.193548 ,0.0322581 ,1.28105e-08
0.193548 ,0.0645161 ,6.59976e-08
0.193548 ,0.0967742 ,3.04112e-07
0.193548 ,0.129032 ,1.24044e-06
0.193548 ,0.16129 ,4.48976e-06
0.193548 ,0.193548 ,1.44524e-05
0.193548 ,0.225806 ,4.1453e-05
0.193548 ,0.258065 ,0.000106119
0.193548 ,0.290323 ,0.000242828
0.193548 ,0.322581 ,0.00049732
0.193548 ,0.354839 ,0.000912689
0.193548 ,0.387097 ,0.00150255
0.193548 ,0.419355 ,0.00222119
0.193548 ,0.451613 ,0.00295118
0.193548 ,0.483871 ,0.00352728
0.193548 ,0.516129 ,0.00379561
0.193548 ,0.548387 ,0.00368019
0.193548 ,0.580645 ,0.00321772
0.193548 ,0.612903 ,0.00253894
0.193548 ,0.645161 ,0.00180934
0.193548 ,0.677419 ,0.00116544
0.193548 ,0.709677 ,0.000679052
0.193548 ,0.741935 ,0.000358191
0.193548 ,0.774194 ,0.000171193
0.193548 ,0.806452 ,7.41977e-05
0.193548 ,0.83871 ,2.91889e-05
0.193548 ,0.870968 ,1.04327e-05
0.193548 ,0.903226 ,3.38602e-06
0.193548 ,0.935484 ,1.03761e-06
0.193548 ,0.967742 ,1.62148e-07
0.193548 ,1 ,1.75648e-08
0.225806 ,0 ,1.19103e-08
0.225806 ,0.0322581 ,3.67137e-08
0.225806 ,0.0645161 ,1.89316e-07
0.225806 ,0.0967742 ,8.72334e-07
0.225806 ,0.129032 ,3.55805e-06
0.225806 ,0.16129 ,1.2878e-05
0.225806 ,0.193548 ,4.1453e-05
0.225806 ,0.225806 ,0.000118895
0.225806 ,0.258065 ,0.000304364
0.225806 ,0.290323 ,0.000696449
0.225806 ,0.322581 ,0.00142633
0.225806 ,0.354839 ,0.00261758
0.225806 ,0.387097 ,0.00430924
0.225806 ,0.419355 ,0.00637017
0.225806 ,0.451613 ,0.00846362
0.225806 ,0.483871 ,0.0101157
0.225806 ,0.516129 ,0.0108851
0.225806 ,0.548387 ,0.010554
0.225806 ,0.580645 ,0.00922759
0.225806 ,0.612903 ,0.00728094
0.225806 ,0.645161 ,0.00518859
0.225806 ,0.677419 ,0.00334205
0.225806 ,0.709677 ,0.00194725
0.225806 ,0.741935 ,0.00102713
0.225806 ,0.774194 ,0.000490899
0.225806 ,0.806452 ,0.00021276
0.225806 ,0.83871 ,8.36971e-05
0.225806 ,0.870968 ,2.99144e-05
0.225806 ,0.903226 ,9.70843e-06
0.225806 ,0.935484 ,2.97885e-06
0.225806 ,0.967742 ,4.13656e-07
0.225806 ,1 ,4.66025e-08
0.258065 ,0 ,2.95863e-08
0.258065 ,0.0322581 ,9.39211e-08
0.258065 ,0.0645161 ,4.84691e-07
0.258065 ,0.0967742 ,2.23333e-06
0.258065 ,0.129032 ,9.109e-06
0.258065 ,0.16129 ,3.29684e-05
0.258065 ,0.193548 ,0.000106119
0.258065 ,0.225806 ,0.000304364
0.258065 ,0.258065 ,0.000779143
0.258065 ,0.290323 ,0.00178282
0.258065 ,0.322581 ,0.00365116
0.258065 ,0.354839 ,0.00670048
0.258065 ,0.387097 ,0.0110306
0.258065 ,0.419355 ,0.0163059
0.258065 ,0.451613 ,0.0216643
0.258065 ,0.483871 ,0.0258929
0.258065 ,0.516129 ,0.027862
0.258065 ,0.548387 ,0.0270142
0.258065 ,0.580645 ,0.0236189
0.258065 ,0.612903 ,0.0186361
0.258065 ,0.645161 ,0.0132804
0.258065 ,0.677419 ,0.008554
0.258065 ,0.709677 ,0.00498394
0.258065 ,0.741935 ,0.0026289
0.258065 ,0.774194 ,0.00125641
0.258065 ,0.806452 ,0.000544533
0.258065 ,0.83871 ,0.000214209
0.258065 ,0.870968 ,7.656e-05
0.258065 ,0.903226 ,2.48455e-05
0.258065 ,0.935484 ,7.63158e-06
0.258065 ,0.967742 ,9.50988e-07
0.258065 ,1 ,1.11143e-07
0.290323 ,0 ,6.59039e-08
0.290323 ,0.0322581 ,2.14783e-07
0.290323 ,0.0645161 ,1.10918e-06
0.290323 ,0.0967742 ,5.11074e-06
0.290323 ,0.129032 ,2.08445e-05
0.290323 ,0.16129 ,7.54413e-05
0.290323 ,0.193548 ,0.000242828
0.290323 ,0.225806 ,0.000696449
0.290323 ,0.258065 ,0.00178282
0.290323 ,0.290323 ,0.00407933
0.290323 ,0.322581 ,0.00835427
0.290323 ,0.354839 ,0.0153313
0.290323 ,0.387097 ,0.0252387
0.290323 ,0.419355 ,0.0373085
0.290323 ,0.451613 ,0.0495682
0.290323 ,0.483871 ,0.0592425
0.290323 ,0.516129 ,0.0637472
0.290323 ,0.548387 ,0.0618068
0.290323 ,0.580645 ,0.0540381
0.290323 ,0.612903 ,0.0426374
0.290323 ,0.645161 ,0.0303839
0.290323 ,0.677419 ,0.0195703
0.290323 ,0.709677 ,0.0114024
0.290323 ,0.741935 ,0.00601438
0.290323 ,0.774194 ,0.00287439
0.290323 ,0.806452 ,0.00124575
0.290323 ,0.83871 ,0.000490049
0.290323 ,0.870968 ,0.000175145
0.290323 ,0.903226 ,5.68359e-05
0.290323 ,0.935484 ,1.74739e-05
0.290323 ,0.967742 ,1.97024e-06
0.290323 ,1 ,2.38347e-07
0.322581 ,0 ,1.31736e-07
0.322581 ,0.0322581 ,4.39648e-07
0.322581 ,0.0645161 ,2.27182e-06
0.322581 ,0.0967742 ,1.04676e-05
0.322581 ,0.129032 ,4.26919e-05
0.322581 ,0.16129 ,0.000154509
0.322581 ,0.193548 ,0.00049732
0.322581 ,0.225806 ,0.00142633
0.322581 ,0.258065 ,0.00365116
0.322581 ,0.290323 ,0.00835427
0.322581 ,0.322581 ,0.0171089
0.322581 ,0.354839 ,0.0313969
0.322581 ,0.387097 ,0.0516858
0.322581 ,0.419355 ,0.0764026
0.322581 ,0.451613 ,0.101508
0.322581 ,0.483871 ,0.121318
