Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.1002926,0.02005852
2,32,10000,2,5,0.1170247,0.02340494
2,32,10000,3,5,0.11032389999999999,0.02206478
2,32,10000,4,5,0.11342229999999999,0.022684459999999997
2,32,10000,5,5,0.1158865,0.0231773
2,32,10000,6,5,0.1119065,0.0223813
2,32,10000,7,5,0.1336224,0.026724480000000002
2,32,10000,8,5,1.7740370999999997,0.35480741999999993
2,64,10000,1,5,0.3129043,0.06258086
2,64,10000,2,5,0.2118788,0.04237576
2,64,10000,3,5,0.3059786,0.061195719999999995
2,64,10000,4,5,0.21234960000000003,0.04246992000000001
2,64,10000,5,5,0.1729622,0.03459244
2,64,10000,6,5,0.1658017,0.033160339999999996
2,64,10000,7,5,0.2054588,0.04109176
2,64,10000,8,5,2.4620719,0.49241438000000004
2,128,10000,1,5,1.2475049999999999,0.24950099999999997
2,128,10000,2,5,0.801064,0.1602128
2,128,10000,3,5,0.5746344999999999,0.11492689999999998
2,128,10000,4,5,0.39789849999999993,0.07957969999999999
2,128,10000,5,5,0.3442533,0.06885066
2,128,10000,6,5,0.3128073,0.06256146
2,128,10000,7,5,0.2911282,0.05822564
2,128,10000,8,5,1.1916113,0.23832225999999998
2,256,10000,1,5,4.307556,0.8615112
2,256,10000,2,5,2.286499,0.45729980000000003
2,256,10000,3,5,1.617606,0.3235212
2,256,10000,4,5,1.323254,0.26465079999999996
2,256,10000,5,5,1.067312,0.2134624
2,256,10000,6,5,0.949404,0.18988080000000002
2,256,10000,7,5,0.815031,0.1630062
2,256,10000,8,5,19.384621999999997,3.876924399999999
2,512,10000,1,5,19.67339,3.9346780000000003
2,512,10000,2,5,10.28824,2.057648
2,512,10000,3,5,7.09216,1.418432
2,512,10000,4,5,5.58013,1.116026
2,512,10000,5,5,4.633246,0.9266492
2,512,10000,6,5,3.8618629999999996,0.7723726
2,512,10000,7,5,3.362578,0.6725156
2,512,10000,8,5,12.22244,2.444488
2,1024,10000,1,5,82.3213,16.46426
2,1024,10000,2,5,42.35745,8.47149
2,1024,10000,3,5,28.988800000000005,5.797760000000001
2,1024,10000,4,5,22.62015,4.52403
2,1024,10000,5,5,18.66138,3.732276
2,1024,10000,6,5,15.69095,3.1381900000000003
2,1024,10000,7,5,13.407010000000001,2.6814020000000003
2,1024,10000,8,5,28.13824,5.627648
2,2048,10000,1,5,368.5409,73.70818
2,2048,10000,2,5,196.29930000000002,39.25986
2,2048,10000,3,5,148.71310000000003,29.742620000000006
2,2048,10000,4,5,136.0315,27.2063
2,2048,10000,5,5,120.77430000000001,24.154860000000003
2,2048,10000,6,5,126.1805,25.2361
2,2048,10000,7,5,124.8127,24.96254
2,2048,10000,8,5,121.8554,24.37108
2,4096,10000,1,5,1497.6749999999997,299.53499999999997
2,4096,10000,2,5,821.302,164.2604
2,4096,10000,3,5,604.5070000000001,120.90140000000001
2,4096,10000,4,5,535.3077000000001,107.06154000000001
2,4096,10000,5,5,518.322,103.6644
2,4096,10000,6,5,507.898,101.5796
2,4096,10000,7,5,502.557,100.51140000000001
2,4096,10000,8,5,519.4905,103.8981
