Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.00907644,0.001815288
2,32,1000,2,5,2.2210876,0.44421752000000003
2,32,1000,3,5,1.9214987,0.38429974
2,32,1000,4,5,0.68535487,0.13707097399999998
2,32,1000,5,5,0.09102307999999999,0.018204616
2,32,1000,6,5,0.08011402,0.016022803999999998
2,32,1000,7,5,0.30922788,0.061845576
2,32,1000,8,5,1.6062151,0.32124302
2,64,2000,1,5,0.0613213,0.01226426
2,64,2000,2,5,0.4909713,0.09819426
2,64,2000,3,5,0.985938,0.1971876
2,64,2000,4,5,1.7119190999999998,0.34238381999999995
2,64,2000,5,5,6.930813999999999,1.3861627999999997
2,64,2000,6,5,7.968969,1.5937938
2,64,2000,7,5,9.4087049,1.88174098
2,64,2000,8,5,3.6676537999999996,0.73353076
2,128,4000,1,5,0.4308021,0.08616042
2,128,4000,2,5,3.5337416,0.70674832
2,128,4000,3,5,1.839554,0.3679108
2,128,4000,4,5,3.1293546,0.62587092
2,128,4000,5,5,4.4348730000000005,0.8869746000000001
2,128,4000,6,5,15.412515899999999,3.08250318
2,128,4000,7,5,21.17549,4.235098
2,128,4000,8,5,8.074300000000001,1.6148600000000002
2,256,8000,1,5,3.40268,0.680536
2,256,8000,2,5,8.209802,1.6419603999999999
2,256,8000,3,5,5.35755,1.07151
2,256,8000,4,5,7.051470999999999,1.4102941999999998
2,256,8000,5,5,2.049833,0.4099666
2,256,8000,6,5,27.171782,5.4343564
2,256,8000,7,5,9.147857,1.8295714
2,256,8000,8,5,25.633820999999998,5.126764199999999
2,512,16000,1,5,31.876559999999998,6.375311999999999
2,512,16000,2,5,23.3851,4.677020000000001
2,512,16000,3,5,19.12731,3.8254620000000004
2,512,16000,4,5,12.98335,2.59667
2,512,16000,5,5,9.76976,1.953952
2,512,16000,6,5,7.339589999999999,1.4679179999999998
2,512,16000,7,5,9.75697,1.951394
2,512,16000,8,5,19.38187,3.8763739999999998
2,1024,32000,1,5,268.1503,53.63006
2,1024,32000,2,5,141.6398,28.32796
2,1024,32000,3,5,96.60820000000001,19.321640000000002
2,1024,32000,4,5,74.89649999999999,14.979299999999999
2,1024,32000,5,5,61.6508,12.33016
2,1024,32000,6,5,50.70033,10.140066000000001
2,1024,32000,7,5,44.79726,8.959452
2,1024,32000,8,5,60.5889,12.11778
2,2048,64000,1,5,2478.741,495.7482
2,2048,64000,2,5,1329.4529999999997,265.89059999999995
2,2048,64000,3,5,933.002,186.60039999999998
2,2048,64000,4,5,776.8910000000001,155.37820000000002
2,2048,64000,5,5,665.4290000000001,133.0858
2,2048,64000,6,5,654.581,130.9162
2,2048,64000,7,5,667.1800000000001,133.436
2,2048,64000,8,5,1038.0249999999999,207.60499999999996
