Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.1153419,0.02306838
2,32,10000,2,5,0.5065717,0.10131433999999999
2,32,10000,3,5,0.566927,0.1133854
2,32,10000,4,5,0.557067,0.1114134
2,32,10000,5,5,0.5520837,0.11041673999999999
2,32,10000,6,5,0.45602509999999996,0.09120502
2,32,10000,7,5,0.6506128,0.13012256
2,32,10000,8,5,0.5060823999999999,0.10121647999999998
2,64,10000,1,5,0.34195130000000007,0.06839026000000001
2,64,10000,2,5,1.107955,0.221591
2,64,10000,3,5,1.044817,0.20896340000000002
2,64,10000,4,5,0.9086420000000001,0.1817284
2,64,10000,5,5,0.7032160000000001,0.14064320000000002
2,64,10000,6,5,1.4670442000000001,0.29340884
2,64,10000,7,5,0.4932878,0.09865756
2,64,10000,8,5,0.629829,0.1259658
2,128,10000,1,5,1.224942,0.2449884
2,128,10000,2,5,2.847429,0.5694858
2,128,10000,3,5,2.258572,0.4517144
2,128,10000,4,5,20.161261999999997,4.032252399999999
2,128,10000,5,5,1.495333,0.2990666
2,128,10000,6,5,1.1619410000000001,0.23238820000000002
2,128,10000,7,5,31.972136999999996,6.3944274
2,128,10000,8,5,0.9761220000000002,0.19522440000000002
2,256,10000,1,5,4.637328,0.9274656
2,256,10000,2,5,7.975110000000001,1.5950220000000002
2,256,10000,3,5,5.60266,1.120532
2,256,10000,4,5,4.17898,0.835796
2,256,10000,5,5,3.3136680000000003,0.6627336
2,256,10000,6,5,2.5631440000000003,0.5126288000000001
2,256,10000,7,5,4.330316,0.8660631999999999
2,256,10000,8,5,3.6507979999999995,0.7301595999999999
2,512,10000,1,5,21.099700000000002,4.21994
2,512,10000,2,5,22.58464,4.516928
2,512,10000,3,5,16.62961,3.325922
2,512,10000,4,5,11.682699999999999,2.33654
2,512,10000,5,5,10.04211,2.008422
2,512,10000,6,5,7.945740000000001,1.5891480000000002
2,512,10000,7,5,6.68811,1.337622
2,512,10000,8,5,5.889809999999999,1.1779619999999997
2,1024,10000,1,5,84.25200000000001,16.8504
2,1024,10000,2,5,69.57050000000001,13.914100000000001
2,1024,10000,3,5,53.851319999999994,10.770264
2,1024,10000,4,5,40.6055,8.1211
2,1024,10000,5,5,32.21467,6.442933999999999
2,1024,10000,6,5,26.28335,5.25667
2,1024,10000,7,5,32.04763,6.409526
2,1024,10000,8,5,27.22309,5.444618
2,2048,10000,1,5,383.5331,76.70662
2,2048,10000,2,5,259.1943,51.83886
2,2048,10000,3,5,207.3909,41.478179999999995
2,2048,10000,4,5,182.1682,36.433640000000004
2,2048,10000,5,5,164.8843,32.97686
2,2048,10000,6,5,131.22209999999998,26.244419999999998
2,2048,10000,7,5,127.3596,25.47192
2,2048,10000,8,5,214.3608,42.87216
2,4096,10000,1,5,1487.587,297.5174
2,4096,10000,2,5,872.884,174.5768
2,4096,10000,3,5,711.2540000000001,142.25080000000003
2,4096,10000,4,5,593.8679999999999,118.77359999999999
2,4096,10000,5,5,581.528,116.3056
2,4096,10000,6,5,561.885,112.377
2,4096,10000,7,5,679.491,135.8982
2,4096,10000,8,5,739.095,147.81900000000002
