Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.09393149999999999,0.0187863
2,32,10000,2,5,0.1651318,0.03302636
2,32,10000,3,5,0.29740469999999997,0.059480939999999996
2,32,10000,4,5,0.2604392,0.052087839999999996
2,32,10000,5,5,0.3080725,0.0616145
2,32,10000,6,5,0.318592,0.0637184
2,32,10000,7,5,0.4794392,0.09588784
2,32,10000,8,5,0.5090781999999999,0.10181563999999999
2,64,10000,1,5,0.31309980000000004,0.06261996
2,64,10000,2,5,0.26950799999999997,0.053901599999999994
2,64,10000,3,5,0.3450571,0.06901142
2,64,10000,4,5,0.3477442,0.06954884
2,64,10000,5,5,0.3254875,0.0650975
2,64,10000,6,5,0.42879860000000003,0.08575972000000001
2,64,10000,7,5,0.3670182,0.07340364
2,64,10000,8,5,0.6135497,0.12270993999999999
2,128,10000,1,5,1.159518,0.23190360000000002
2,128,10000,2,5,0.8082509999999999,0.1616502
2,128,10000,3,5,0.7890609999999999,0.15781219999999999
2,128,10000,4,5,0.6850205,0.13700410000000002
2,128,10000,5,5,0.6300971,0.12601942
2,128,10000,6,5,0.581662,0.1163324
2,128,10000,7,5,0.5064581,0.10129162
2,128,10000,8,5,0.919948,0.1839896
2,256,10000,1,5,4.497609000000001,0.8995218000000001
2,256,10000,2,5,2.82733,0.565466
2,256,10000,3,5,2.428824,0.4857648
2,256,10000,4,5,1.7869190000000001,0.35738380000000003
2,256,10000,5,5,1.644963,0.32899259999999997
2,256,10000,6,5,1.487499,0.2974998
2,256,10000,7,5,1.3475609999999998,0.2695122
2,256,10000,8,5,1.35279,0.27055799999999997
2,512,10000,1,5,20.390410000000003,4.078082
2,512,10000,2,5,11.89978,2.379956
2,512,10000,3,5,8.8318,1.76636
2,512,10000,4,5,6.68791,1.3375819999999998
2,512,10000,5,5,5.313789999999999,1.0627579999999999
2,512,10000,6,5,4.497801,0.8995602
2,512,10000,7,5,4.179059,0.8358117999999999
2,512,10000,8,5,3.647529,0.7295058
2,1024,10000,1,5,83.078,16.6156
2,1024,10000,2,5,47.416509999999995,9.483301999999998
2,1024,10000,3,5,33.14661,6.629322
2,1024,10000,4,5,24.407510000000002,4.881502
2,1024,10000,5,5,19.62528,3.925056
2,1024,10000,6,5,16.12724,3.225448
2,1024,10000,7,5,14.538730000000001,2.9077460000000004
2,1024,10000,8,5,13.206109999999999,2.641222
2,2048,10000,1,5,377.82939999999996,75.56587999999999
2,2048,10000,2,5,213.8513,42.77026
2,2048,10000,3,5,151.7924,30.358479999999997
2,2048,10000,4,5,134.32049999999998,26.864099999999997
2,2048,10000,5,5,129.1628,25.83256
2,2048,10000,6,5,125.5118,25.102359999999997
2,2048,10000,7,5,120.2825,24.0565
2,2048,10000,8,5,129.964,25.9928
2,4096,10000,1,5,1484.039,296.8078
2,4096,10000,2,5,787.3019999999999,157.4604
2,4096,10000,3,5,601.468,120.2936
