Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.00993932,0.0019878639999999998
2,32,1000,2,5,0.013297699999999999,0.0026595399999999997
2,32,1000,3,5,0.01595373,0.003190746
2,32,1000,4,5,0.016997270000000002,0.0033994540000000005
2,32,1000,5,5,0.01829298,0.003658596
2,32,1000,6,5,0.02100062,0.004200124
2,32,1000,7,5,0.0243431,0.00486862
2,32,1000,8,5,0.026858270000000004,0.005371654000000001
2,64,2000,1,5,0.0646859,0.012937180000000001
2,64,2000,2,5,0.04790201,0.009580402
2,64,2000,3,5,0.04829031,0.009658062
2,64,2000,4,5,0.04740028,0.009480056
2,64,2000,5,5,0.05007698,0.010015396
2,64,2000,6,5,0.051597300000000006,0.01031946
2,64,2000,7,5,0.05432000000000001,0.010864000000000002
2,64,2000,8,5,0.059898900000000005,0.01197978
2,128,4000,1,5,0.4640693,0.09281386
2,128,4000,2,5,0.26420350000000004,0.052840700000000004
2,128,4000,3,5,0.2245216,0.04490432
2,128,4000,4,5,0.19907550000000002,0.039815100000000006
2,128,4000,5,5,0.18265910000000002,0.036531820000000007
2,128,4000,6,5,0.1721841,0.03443682
2,128,4000,7,5,0.1678521,0.033570420000000004
2,128,4000,8,5,0.1728344,0.03456688
2,256,8000,1,5,3.568762,0.7137524
2,256,8000,2,5,1.935667,0.3871334
2,256,8000,3,5,1.3969179999999999,0.27938359999999995
2,256,8000,4,5,1.136494,0.22729879999999997
2,256,8000,5,5,0.9857589999999999,0.1971518
2,256,8000,6,5,0.884659,0.1769318
2,256,8000,7,5,0.8135129999999999,0.16270259999999998
2,256,8000,8,5,0.8488789999999999,0.16977579999999998
2,512,16000,1,5,32.749840000000006,6.549968000000002
2,512,16000,2,5,17.44491,3.488982
2,512,16000,3,5,12.19003,2.438006
2,512,16000,4,5,9.39226,1.878452
2,512,16000,5,5,7.55931,1.511862
2,512,16000,6,5,6.41733,1.283466
2,512,16000,7,5,5.594359999999999,1.1188719999999999
2,512,16000,8,5,4.941845,0.9883689999999999
2,1024,32000,1,5,280.5725,56.1145
2,1024,32000,2,5,144.8375,28.9675
2,1024,32000,3,5,100.5015,20.100299999999997
2,1024,32000,4,5,75.86240000000001,15.172480000000002
2,1024,32000,5,5,60.794399999999996,12.15888
2,1024,32000,6,5,50.986000000000004,10.1972
2,1024,32000,7,5,43.75765,8.751529999999999
2,1024,32000,8,5,38.57354,7.714708
2,2048,64000,1,5,2649.49,529.8979999999999
2,2048,64000,2,5,1348.95,269.79
2,2048,64000,3,5,1110.2730000000001,222.05460000000002
2,2048,64000,4,5,1003.198,200.6396
2,2048,64000,5,5,926.7669999999999,185.3534
2,2048,64000,6,5,944.576,188.9152
2,2048,64000,7,5,889.4730000000001,177.89460000000003
2,2048,64000,8,5,879.4259999999999,175.8852
