Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.096064,0.0192128
2,32,10000,2,5,0.11398849999999999,0.022797699999999997
2,32,10000,3,5,0.111483,0.0222966
2,32,10000,4,5,0.11523800000000001,0.0230476
2,32,10000,5,5,0.11745249999999999,0.023490499999999997
2,32,10000,6,5,0.11380929999999999,0.02276186
2,32,10000,7,5,0.11745460000000002,0.023490920000000005
2,32,10000,8,5,10.097751800000001,2.01955036
2,64,10000,1,5,0.30335439999999997,0.060670879999999996
2,64,10000,2,5,0.2217246,0.044344919999999996
2,64,10000,3,5,0.1910807,0.038216139999999996
2,64,10000,4,5,0.1784136,0.03568272
2,64,10000,5,5,0.17100340000000003,0.034200680000000004
2,64,10000,6,5,0.16833860000000003,0.033667720000000005
2,64,10000,7,5,0.1582715,0.0316543
2,64,10000,8,5,0.3370047,0.06740093999999999
2,128,10000,1,5,1.119757,0.22395139999999997
2,128,10000,2,5,0.6432640000000001,0.1286528
2,128,10000,3,5,0.4760508,0.09521016
2,128,10000,4,5,0.4046146,0.08092292
2,128,10000,5,5,0.34256279999999995,0.06851255999999999
2,128,10000,6,5,0.3289104,0.06578207999999999
2,128,10000,7,5,0.2927079,0.05854158
2,128,10000,8,5,15.44733,3.089466
2,256,10000,1,5,4.414872,0.8829743999999999
2,256,10000,2,5,2.358894,0.47177879999999994
2,256,10000,3,5,1.702939,0.3405878
2,256,10000,4,5,1.314907,0.26298140000000003
2,256,10000,5,5,1.068366,0.21367319999999998
2,256,10000,6,5,0.9202290000000001,0.1840458
2,256,10000,7,5,0.8142,0.16284
2,256,10000,8,5,24.240546000000002,4.848109200000001
2,512,10000,1,5,20.2282,4.045640000000001
2,512,10000,2,5,10.65756,2.131512
2,512,10000,3,5,7.38791,1.477582
2,512,10000,4,5,5.775860000000001,1.155172
2,512,10000,5,5,4.59263,0.918526
2,512,10000,6,5,3.834371,0.7668742
2,512,10000,7,5,3.354153,0.6708306
2,512,10000,8,5,55.96867,11.193734000000001
2,1024,10000,1,5,82.7218,16.54436
2,1024,10000,2,5,43.2932,8.65864
2,1024,10000,3,5,29.972949999999997,5.99459
2,1024,10000,4,5,23.29666,4.659332
2,1024,10000,5,5,18.69397,3.738794
2,1024,10000,6,5,15.67014,3.134028
2,1024,10000,7,5,13.512369999999999,2.7024739999999996
2,1024,10000,8,5,36.89051,7.378102
2,2048,10000,1,5,383.82210000000003,76.76442
2,2048,10000,2,5,214.3565,42.871300000000005
2,2048,10000,3,5,143.3047,28.66094
2,2048,10000,4,5,116.6044,23.32088
2,2048,10000,5,5,111.6845,22.3369
2,2048,10000,6,5,110.4617,22.09234
2,2048,10000,7,5,110.2071,22.04142
2,2048,10000,8,5,111.4519,22.29038
2,4096,10000,1,5,1589.9850000000001,317.997
2,4096,10000,2,5,849.034,169.8068
2,4096,10000,3,5,612.47,122.494
2,4096,10000,4,5,462.37570000000005,92.47514000000001
2,4096,10000,5,5,501.23199999999997,100.2464
2,4096,10000,6,5,488.0701,97.61402000000001
2,4096,10000,7,5,478.9485,95.78970000000001
2,4096,10000,8,5,449.776,89.9552
