Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.009745360000000002,0.0019490720000000003
2,32,1000,2,5,0.01194331,0.002388662
2,32,1000,3,5,0.01182689,0.002365378
2,32,1000,4,5,0.01213438,0.002426876
2,32,1000,5,5,0.01209722,0.002419444
2,32,1000,6,5,0.01197746,0.002395492
2,32,1000,7,5,0.012524299999999999,0.00250486
2,32,1000,8,5,0.013389079999999998,0.0026778159999999995
2,64,2000,1,5,0.0633505,0.0126701
2,64,2000,2,5,0.047125219999999995,0.009425043999999999
2,64,2000,3,5,0.03992795,0.007985589999999999
2,64,2000,4,5,0.03695396,0.007390792
2,64,2000,5,5,0.03592717,0.007185434
2,64,2000,6,5,0.03474131,0.006948261999999999
2,64,2000,7,5,0.032625600000000005,0.006525120000000001
2,64,2000,8,5,0.03245903,0.006491806
2,128,4000,1,5,0.4650344,0.09300688
2,128,4000,2,5,0.2647756,0.05295512
2,128,4000,3,5,0.1967886,0.03935772
2,128,4000,4,5,0.16410729999999998,0.03282146
2,128,4000,5,5,0.1417894,0.028357880000000002
2,128,4000,6,5,0.12799739999999998,0.025599479999999997
2,128,4000,7,5,0.11839899999999999,0.023679799999999997
2,128,4000,8,5,0.11301749999999999,0.0226035
2,256,8000,1,5,3.5780760000000003,0.7156152
2,256,8000,2,5,1.9249960000000002,0.38499920000000004
2,256,8000,3,5,1.353267,0.2706534
2,256,8000,4,5,1.053202,0.2106404
2,256,8000,5,5,0.8560279999999999,0.17120559999999999
2,256,8000,6,5,0.7345029999999999,0.1469006
2,256,8000,7,5,0.650953,0.1301906
2,256,8000,8,5,0.592705,0.11854100000000001
2,512,16000,1,5,32.89826,6.579652
2,512,16000,2,5,17.29918,3.459836
2,512,16000,3,5,11.880019999999998,2.3760039999999996
2,512,16000,4,5,9.30302,1.860604
2,512,16000,5,5,7.54408,1.508816
2,512,16000,6,5,6.41709,1.283418
2,512,16000,7,5,5.519530000000001,1.1039060000000003
2,512,16000,8,5,4.868653999999999,0.9737307999999999
2,1024,32000,1,5,272.7411,54.54822
2,1024,32000,2,5,141.679,28.3358
2,1024,32000,3,5,97.6209,19.52418
2,1024,32000,4,5,74.89529999999999,14.979059999999999
2,1024,32000,5,5,60.270399999999995,12.054079999999999
2,1024,32000,6,5,49.9488,9.98976
2,1024,32000,7,5,43.2281,8.64562
2,1024,32000,8,5,38.022949999999994,7.604589999999999
2,2048,64000,1,5,2480.696,496.13919999999996
2,2048,64000,2,5,1332.085,266.41700000000003
2,2048,64000,3,5,1075.054,215.01080000000002
2,2048,64000,4,5,980.373,196.0746
2,2048,64000,5,5,901.409,180.2818
2,2048,64000,6,5,877.829,175.5658
2,2048,64000,7,5,870.733,174.14659999999998
2,2048,64000,8,5,870.1669999999999,174.03339999999997
