x dist ,y dist ,func value
0 ,0 ,-2.42577e-12
0 ,0.111111 ,-5.12366e-10
0 ,0.222222 ,-2.18285e-08
0 ,0.333333 ,-2.60357e-07
0 ,0.444444 ,-8.97186e-07
0 ,0.555556 ,-8.9839e-07
0 ,0.666667 ,-2.62012e-07
0 ,0.777778 ,-2.23237e-08
0 ,0.888889 ,1.93777e-09
0 ,1 ,3.17313e-12
0.111111 ,0 ,-5.12366e-10
0.111111 ,0.111111 ,7.81523e-08
0.111111 ,0.222222 ,5.35588e-06
0.111111 ,0.333333 ,7.1234e-05
0.111111 ,0.444444 ,0.00025354
0.111111 ,0.555556 ,0.000258243
0.111111 ,0.666667 ,7.77036e-05
0.111111 ,0.777778 ,7.2831e-06
0.111111 ,0.888889 ,2.70375e-07
0.111111 ,1 ,1.15904e-09
0.222222 ,0 ,-2.18285e-08
0.222222 ,0.111111 ,5.35588e-06
0.222222 ,0.222222 ,0.000336947
0.222222 ,0.333333 ,0.00441385
0.222222 ,0.444444 ,0.0156436
0.222222 ,0.555556 ,0.015899
0.222222 ,0.666667 ,0.00476521
0.222222 ,0.777778 ,0.000441617
0.222222 ,0.888889 ,1.09765e-05
0.222222 ,1 ,5.62288e-08
0.333333 ,0 ,-2.60357e-07
0.333333 ,0.111111 ,7.1234e-05
0.333333 ,0.222222 ,0.00441385
0.333333 ,0.333333 ,0.0576543
0.333333 ,0.444444 ,0.204174
0.333333 ,0.555556 ,0.207421
0.333333 ,0.666667 ,0.062121
0.333333 ,0.777778 ,0.0057445
0.333333 ,0.888889 ,0.000129657
0.333333 ,1 ,6.9665e-07
0.444444 ,0 ,-8.97186e-07
0.444444 ,0.111111 ,0.00025354
0.444444 ,0.222222 ,0.0156436
0.444444 ,0.333333 ,0.204174
0.444444 ,0.444444 ,0.722888
0.444444 ,0.555556 ,0.734297
0.444444 ,0.666667 ,0.21987
0.444444 ,0.777778 ,0.0203193
0.444444 ,0.888889 ,0.000445618
0.444444 ,1 ,2.4295e-06
0.555556 ,0 ,-8.9839e-07
0.555556 ,0.111111 ,0.000258243
0.555556 ,0.222222 ,0.015899
0.555556 ,0.333333 ,0.207421
0.555556 ,0.444444 ,0.734297
0.555556 ,0.555556 ,0.745842
0.555556 ,0.666667 ,0.223302
0.555556 ,0.777778 ,0.0206299
0.555556 ,0.888889 ,0.000445618
0.555556 ,1 ,2.44843e-06
0.666667 ,0 ,-2.62012e-07
0.666667 ,0.111111 ,7.77036e-05
0.666667 ,0.222222 ,0.00476521
0.666667 ,0.333333 ,0.062121
0.666667 ,0.444444 ,0.21987
0.666667 ,0.555556 ,0.223302
0.666667 ,0.666667 ,0.0668423
0.666667 ,0.777778 ,0.0061717
0.666667 ,0.888889 ,0.000129657
0.666667 ,1 ,7.22686e-07
0.777778 ,0 ,-2.23237e-08
0.777778 ,0.111111 ,7.2831e-06
0.777778 ,0.222222 ,0.000441617
0.777778 ,0.333333 ,0.0057445
0.777778 ,0.444444 ,0.0203193
0.777778 ,0.555556 ,0.0206299
0.777778 ,0.666667 ,0.0061717
0.777778 ,0.777778 ,0.000568883
0.777778 ,0.888889 ,1.09765e-05
0.777778 ,1 ,6.39882e-08
0.888889 ,0 ,1.93777e-09
0.888889 ,0.111111 ,2.70375e-07
0.888889 ,0.222222 ,1.09765e-05
0.888889 ,0.333333 ,0.000129657
0.888889 ,0.444444 ,0.000445618
0.888889 ,0.555556 ,0.000445618
0.888889 ,0.666667 ,0.000129657
0.888889 ,0.777778 ,1.09765e-05
0.888889 ,0.888889 ,2.70375e-07
0.888889 ,1 ,0
1 ,0 ,3.17313e-12
1 ,0.111111 ,1.15904e-09
1 ,0.222222 ,5.62288e-08
1 ,0.333333 ,6.9665e-07
1 ,0.444444 ,2.4295e-06
1 ,0.555556 ,2.44843e-06
1 ,0.666667 ,7.22686e-07
1 ,0.777778 ,6.39882e-08
1 ,0.888889 ,0
1 ,1 ,-8.45862e-14
