Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.224541,0.044908199999999995
2,32,10000,2,5,0.18012369999999997,0.03602473999999999
2,32,10000,3,5,0.1562648,0.03125296
2,32,10000,4,5,0.1487051,0.02974102
2,32,10000,5,5,0.1420178,0.02840356
2,32,10000,6,5,0.1378174,0.02756348
2,32,10000,7,5,0.1415948,0.028318959999999997
2,32,10000,8,5,0.1378522,0.02757044
2,64,10000,1,5,0.8780629999999999,0.17561259999999998
2,64,10000,2,5,0.538365,0.10767299999999999
2,64,10000,3,5,0.3995238,0.07990475999999999
2,64,10000,4,5,0.3366276,0.06732552
2,64,10000,5,5,0.2980393,0.05960786
2,64,10000,6,5,0.27358829999999995,0.05471765999999999
2,64,10000,7,5,0.2534708,0.05069416
2,64,10000,8,5,0.3197759,0.06395518
2,128,10000,1,5,3.673229,0.7346458
2,128,10000,2,5,1.9218229999999998,0.38436459999999995
2,128,10000,3,5,1.356297,0.27125940000000004
2,128,10000,4,5,1.075108,0.21502159999999998
2,128,10000,5,5,0.866097,0.1732194
2,128,10000,6,5,0.748764,0.1497528
2,128,10000,7,5,0.667055,0.133411
2,128,10000,8,5,0.609139,0.1218278
2,256,10000,1,5,14.50243,2.900486
2,256,10000,2,5,7.580550000000001,1.51611
2,256,10000,3,5,5.2759,1.05518
2,256,10000,4,5,4.041024999999999,0.8082049999999998
2,256,10000,5,5,3.245252,0.6490503999999999
2,256,10000,6,5,2.7538910000000003,0.5507782000000001
2,256,10000,7,5,2.394842,0.4789684
2,256,10000,8,5,2.088813,0.4177626
2,512,10000,1,5,58.895500000000006,11.779100000000001
2,512,10000,2,5,30.485659999999996,6.097131999999999
2,512,10000,3,5,20.849619999999998,4.169924
2,512,10000,4,5,16.07712,3.215424
2,512,10000,5,5,12.84985,2.56997
2,512,10000,6,5,10.66716,2.133432
2,512,10000,7,5,9.20598,1.841196
2,512,10000,8,5,15.518320000000001,3.103664
2,1024,10000,1,5,207.42600000000002,41.485200000000006
2,1024,10000,2,5,108.1751,21.63502
2,1024,10000,3,5,74.8794,14.97588
2,1024,10000,4,5,56.7879,11.35758
2,1024,10000,5,5,45.72344,9.144687999999999
2,1024,10000,6,5,38.09448,7.6188959999999994
2,1024,10000,7,5,32.71287,6.542574
2,1024,10000,8,5,28.859720000000003,5.771944
2,2048,10000,1,5,817.7010000000001,163.54020000000003
2,2048,10000,2,5,426.65659999999997,85.33131999999999
2,2048,10000,3,5,295.74679999999995,59.14935999999999
2,2048,10000,4,5,225.39600000000002,45.0792
2,2048,10000,5,5,185.54989999999998,37.10997999999999
2,2048,10000,6,5,160.26219999999998,32.05244
2,2048,10000,7,5,143.7668,28.753359999999997
2,2048,10000,8,5,135.2829,27.056580000000004
2,4096,10000,1,5,2830.295,566.059
2,4096,10000,2,5,1454.4610000000002,290.89220000000006
2,4096,10000,3,5,1025.548,205.1096
2,4096,10000,4,5,788.242,157.64839999999998
2,4096,10000,5,5,661.585,132.317
2,4096,10000,6,5,590.4000000000001,118.08000000000001
2,4096,10000,7,5,547.864,109.5728
2,4096,10000,8,5,524.357,104.8714
