Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.00968158,0.001936316
2,32,1000,2,5,0.012258010000000001,0.002451602
2,32,1000,3,5,0.01202081,0.002404162
2,32,1000,4,5,0.012372480000000002,0.0024744960000000005
2,32,1000,5,5,0.012790919999999999,0.002558184
2,32,1000,6,5,0.01290907,0.002581814
2,32,1000,7,5,0.013498570000000001,0.002699714
2,32,1000,8,5,0.01417198,0.0028343960000000003
2,64,2000,1,5,0.0660986,0.013219719999999999
2,64,2000,2,5,0.04935635,0.00987127
2,64,2000,3,5,0.04292725,0.00858545
2,64,2000,4,5,0.03928635,0.00785727
2,64,2000,5,5,0.038290199999999996,0.00765804
2,64,2000,6,5,0.03650105,0.00730021
2,64,2000,7,5,0.03555221,0.007110442
2,64,2000,8,5,0.0354205,0.0070841
2,128,4000,1,5,0.4801777,0.09603554
2,128,4000,2,5,0.28384970000000004,0.056769940000000005
2,128,4000,3,5,0.21077160000000003,0.04215432000000001
2,128,4000,4,5,0.1777486,0.03554972
2,128,4000,5,5,0.1534362,0.030687239999999998
2,128,4000,6,5,0.1389816,0.027796320000000003
2,128,4000,7,5,0.1277562,0.025551239999999996
2,128,4000,8,5,0.1218549,0.02437098
2,256,8000,1,5,3.816396,0.7632792
2,256,8000,2,5,2.102941,0.42058819999999997
2,256,8000,3,5,1.465703,0.2931406
2,256,8000,4,5,1.155149,0.2310298
2,256,8000,5,5,0.935589,0.1871178
2,256,8000,6,5,0.8089080000000001,0.16178160000000003
2,256,8000,7,5,0.714043,0.1428086
2,256,8000,8,5,0.635085,0.127017
2,512,16000,1,5,32.9228,6.584560000000001
2,512,16000,2,5,17.88794,3.577588
2,512,16000,3,5,12.29062,2.458124
2,512,16000,4,5,9.58342,1.916684
2,512,16000,5,5,7.71837,1.543674
2,512,16000,6,5,6.519010000000001,1.3038020000000001
2,512,16000,7,5,5.71239,1.142478
2,512,16000,8,5,5.07366,1.014732
2,1024,32000,1,5,272.9043,54.580859999999994
2,1024,32000,2,5,144.236,28.847199999999997
2,1024,32000,3,5,99.91929999999999,19.98386
2,1024,32000,4,5,76.91650000000001,15.383300000000002
2,1024,32000,5,5,61.7364,12.347280000000001
2,1024,32000,6,5,51.8042,10.36084
2,1024,32000,7,5,44.680049999999994,8.93601
2,1024,32000,8,5,39.407939999999996,7.881587999999999
2,2048,64000,1,5,2712.7370000000005,542.5474000000002
2,2048,64000,2,5,1392.107,278.4214
2,2048,64000,3,5,948.5559999999999,189.7112
2,2048,64000,4,5,735.766,147.1532
2,2048,64000,5,5,640.6290000000001,128.12580000000003
2,2048,64000,6,5,586.54,117.30799999999999
2,2048,64000,7,5,555.36,111.072
2,2048,64000,8,5,537.0409999999999,107.4082
