Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.025267400000000002,0.005053480000000001
2,32,1000,2,5,0.023935980000000003,0.0047871960000000005
2,32,1000,3,5,0.02460101,0.004920202
2,32,1000,4,5,0.02569652,0.005139304
2,32,1000,5,5,0.026108569999999998,0.005221714
2,32,1000,6,5,0.05774356,0.011548712
2,32,1000,7,5,1.5823224,0.31646448
2,32,1000,8,5,0.38199775999999996,0.076399552
2,64,2000,1,5,0.188315,0.037663
2,64,2000,2,5,0.1288961,0.025779220000000002
2,64,2000,3,5,0.1151527,0.02303054
2,64,2000,4,5,0.13925759999999998,0.027851519999999998
2,64,2000,5,5,0.11420659999999999,0.02284132
2,64,2000,6,5,0.1659965,0.0331993
2,64,2000,7,5,3.8491769999999996,0.7698354
2,64,2000,8,5,1.3634832000000001,0.27269664000000005
2,128,4000,1,5,1.4818369999999998,0.29636739999999995
2,128,4000,2,5,0.9997159999999999,0.1999432
2,128,4000,3,5,0.958626,0.19172519999999998
2,128,4000,4,5,0.942526,0.18850519999999998
2,128,4000,5,5,0.7161782999999999,0.14323566
2,128,4000,6,5,0.6736001,0.13472002
2,128,4000,7,5,0.6427472,0.12854944
2,128,4000,8,5,0.6980200000000001,0.139604
2,256,8000,1,5,11.60093,2.320186
2,256,8000,2,5,7.41297,1.482594
2,256,8000,3,5,5.4947919999999995,1.0989584
2,256,8000,4,5,3.565084,0.7130168
2,256,8000,5,5,2.771555,0.554311
2,256,8000,6,5,2.5328779999999997,0.5065755999999999
2,256,8000,7,5,4.733702999999999,0.9467405999999998
2,256,8000,8,5,5.803421,1.1606842
2,512,16000,1,5,95.60319999999999,19.120639999999998
2,512,16000,2,5,53.81980000000001,10.76396
2,512,16000,3,5,42.529740000000004,8.505948
2,512,16000,4,5,32.31064,6.462128
2,512,16000,5,5,27.08293,5.416586000000001
2,512,16000,6,5,23.429979999999997,4.685995999999999
2,512,16000,7,5,20.52486,4.104972
2,512,16000,8,5,19.79203,3.958406
2,1024,32000,1,5,786.1500000000001,157.23000000000002
2,1024,32000,2,5,424.20990000000006,84.84198
2,1024,32000,3,5,307.4095,61.481899999999996
2,1024,32000,4,5,235.41969999999998,47.08394
2,1024,32000,5,5,192.85399999999998,38.5708
2,1024,32000,6,5,163.92079999999999,32.78416
2,1024,32000,7,5,143.4132,28.68264
2,1024,32000,8,5,139.8149,27.962979999999998
2,2048,64000,1,5,6414.95,1282.99
2,2048,64000,2,5,3418.6490000000003,683.7298000000001
2,2048,64000,3,5,2284.933,456.9866
2,2048,64000,4,5,1785.1240000000003,357.0248
2,2048,64000,5,5,1451.2549999999999,290.251
2,2048,64000,6,5,1260.909,252.1818
2,2048,64000,7,5,1140.129,228.02579999999998
2,2048,64000,8,5,1167.648,233.5296
