Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.2159429,0.04318858
2,32,10000,2,5,0.1611128,0.03222256
2,32,10000,3,5,0.17003269999999998,0.034006539999999995
2,32,10000,4,5,0.1810664,0.03621328
2,32,10000,5,5,0.190269,0.0380538
2,32,10000,6,5,0.2075379,0.04150758
2,32,10000,7,5,0.21897279999999997,0.043794559999999996
2,32,10000,8,5,0.24276060000000002,0.048552120000000004
2,64,10000,1,5,0.835371,0.1670742
2,64,10000,2,5,0.48960950000000003,0.0979219
2,64,10000,3,5,0.3892004,0.07784008
2,64,10000,4,5,0.35287480000000004,0.07057496
2,64,10000,5,5,0.3329118,0.06658236
2,64,10000,6,5,0.3159497,0.06318994
2,64,10000,7,5,0.3066833,0.06133666
2,64,10000,8,5,0.3165055,0.0633011
2,128,10000,1,5,3.390211,0.6780421999999999
2,128,10000,2,5,1.7843649999999998,0.35687299999999994
2,128,10000,3,5,1.3017870000000002,0.26035740000000007
2,128,10000,4,5,1.046993,0.20939860000000002
2,128,10000,5,5,0.901386,0.1802772
2,128,10000,6,5,0.802083,0.1604166
2,128,10000,7,5,0.712502,0.1425004
2,128,10000,8,5,0.66281,0.132562
2,256,10000,1,5,13.7726,2.7545200000000003
2,256,10000,2,5,7.18197,1.436394
2,256,10000,3,5,5.055521000000001,1.0111042000000001
2,256,10000,4,5,3.9337919999999995,0.7867583999999999
2,256,10000,5,5,3.264821,0.6529642
2,256,10000,6,5,2.74865,0.54973
2,256,10000,7,5,2.395717,0.4791434
2,256,10000,8,5,2.133466,0.4266932
2,512,10000,1,5,56.0196,11.20392
2,512,10000,2,5,28.88262,5.776524
2,512,10000,3,5,19.92098,3.984196
2,512,10000,4,5,15.53889,3.107778
2,512,10000,5,5,12.805909999999999,2.5611819999999996
2,512,10000,6,5,10.687570000000001,2.1375140000000004
2,512,10000,7,5,9.216660000000001,1.8433320000000002
2,512,10000,8,5,8.25904,1.6518080000000002
2,1024,10000,1,5,203.1648,40.632960000000004
2,1024,10000,2,5,109.70349999999999,21.9407
2,1024,10000,3,5,75.3569,15.07138
2,1024,10000,4,5,56.9418,11.38836
2,1024,10000,5,5,45.82296,9.164592
2,1024,10000,6,5,38.28374,7.656748
2,1024,10000,7,5,32.839420000000004,6.567884000000001
2,1024,10000,8,5,28.85724,5.771448
2,2048,10000,1,5,803.213,160.6426
2,2048,10000,2,5,413.6145,82.72290000000001
2,2048,10000,3,5,301.6365,60.3273
2,2048,10000,4,5,234.583,46.9166
2,2048,10000,5,5,193.46810000000002,38.69362
2,2048,10000,6,5,172.9797,34.59594
2,2048,10000,7,5,161.76620000000003,32.35324000000001
2,2048,10000,8,5,156.4399,31.287979999999997
