Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.023996089999999998,0.004799217999999999
2,32,1000,2,5,0.01852951,0.0037059019999999996
2,32,1000,3,5,0.01916237,0.003832474
2,32,1000,4,5,0.01955819,0.003911638
2,32,1000,5,5,0.02017237,0.004034474
2,32,1000,6,5,0.02171894,0.0043437879999999995
2,32,1000,7,5,0.023035319999999998,0.004607063999999999
2,32,1000,8,5,0.02611205,0.00522241
2,64,2000,1,5,0.181427,0.0362854
2,64,2000,2,5,0.1071022,0.02142044
2,64,2000,3,5,0.0834956,0.01669912
2,64,2000,4,5,0.0724197,0.01448394
2,64,2000,5,5,0.0676495,0.013529900000000001
2,64,2000,6,5,0.0645028,0.01290056
2,64,2000,7,5,0.0639049,0.01278098
2,64,2000,8,5,0.0660324,0.013206480000000001
2,128,4000,1,5,1.470959,0.2941918
2,128,4000,2,5,0.775058,0.1550116
2,128,4000,3,5,0.555608,0.1111216
2,128,4000,4,5,0.4337863,0.08675726
2,128,4000,5,5,0.36346429999999996,0.07269286
2,128,4000,6,5,0.3206327,0.06412654
2,128,4000,7,5,0.2885929,0.05771858
2,128,4000,8,5,0.2693571,0.05387142
2,256,8000,1,5,12.25807,2.451614
2,256,8000,2,5,6.199250000000001,1.2398500000000001
2,256,8000,3,5,4.236496,0.8472991999999999
2,256,8000,4,5,3.214775,0.6429549999999999
2,256,8000,5,5,2.615277,0.5230554
2,256,8000,6,5,2.205261,0.4410522
2,256,8000,7,5,1.918959,0.3837918
2,256,8000,8,5,1.7322739999999999,0.34645479999999995
2,512,16000,1,5,97.8339,19.56678
2,512,16000,2,5,50.0531,10.01062
2,512,16000,3,5,33.937560000000005,6.787512000000001
2,512,16000,4,5,25.48778,5.097556
2,512,16000,5,5,20.47557,4.095114000000001
2,512,16000,6,5,17.12265,3.42453
2,512,16000,7,5,14.80201,2.9604019999999998
2,512,16000,8,5,13.024870000000002,2.6049740000000003
2,1024,32000,1,5,784.164,156.8328
2,1024,32000,2,5,404.0595,80.81190000000001
2,1024,32000,3,5,273.0728,54.61456
2,1024,32000,4,5,205.3323,41.06646
2,1024,32000,5,5,164.5812,32.91624
2,1024,32000,6,5,137.7776,27.55552
2,1024,32000,7,5,118.3391,23.66782
2,1024,32000,8,5,103.90270000000001,20.780540000000002
2,2048,64000,1,5,6295.13,1259.026
2,2048,64000,2,5,3235.404,647.0808
2,2048,64000,3,5,2179.3320000000003,435.86640000000006
2,2048,64000,4,5,1654.452,330.8904
2,2048,64000,5,5,1335.7790000000002,267.15580000000006
2,2048,64000,6,5,1134.141,226.8282
2,2048,64000,7,5,1002.0279999999999,200.4056
2,2048,64000,8,5,939.8910000000001,187.97820000000002
