Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.023951260000000002,0.004790252
2,32,1000,2,5,0.0202469,0.00404938
2,32,1000,3,5,1.89941842,0.379883684
2,32,1000,4,5,2.00959243,0.401918486
2,32,1000,5,5,2.9215112899999998,0.5843022579999999
2,32,1000,6,5,1.0249907299999999,0.20499814599999996
2,32,1000,7,5,2.8236117,0.56472234
2,32,1000,8,5,3.7126134,0.74252268
2,64,2000,1,5,0.18664209999999998,0.037328419999999994
2,64,2000,2,5,0.1236863,0.02473726
2,64,2000,3,5,1.2739011,0.25478022
2,64,2000,4,5,0.106098,0.021219599999999998
2,64,2000,5,5,0.146666,0.029333199999999997
2,64,2000,6,5,1.9550876,0.39101752
2,64,2000,7,5,9.936094,1.9872188000000002
2,64,2000,8,5,2.8062547000000007,0.5612509400000001
2,128,4000,1,5,1.531695,0.30633900000000003
2,128,4000,2,5,0.813319,0.1626638
2,128,4000,3,5,0.932712,0.1865424
2,128,4000,4,5,0.6775956999999999,0.13551913999999998
2,128,4000,5,5,0.4838135,0.09676270000000001
2,128,4000,6,5,0.48140120000000003,0.09628024
2,128,4000,7,5,0.9556717000000001,0.19113434
2,128,4000,8,5,1.4157090999999997,0.28314181999999993
2,256,8000,1,5,11.72006,2.344012
2,256,8000,2,5,6.0236,1.20472
2,256,8000,3,5,5.818172000000001,1.1636344
2,256,8000,4,5,3.7683420000000005,0.7536684000000001
2,256,8000,5,5,3.9653459999999994,0.7930691999999999
2,256,8000,6,5,9.181614,1.8363228
2,256,8000,7,5,8.999272999999999,1.7998545999999997
2,256,8000,8,5,6.826942,1.3653884
2,512,16000,1,5,94.624,18.924799999999998
2,512,16000,2,5,48.85465,9.77093
2,512,16000,3,5,35.52301,7.104602
2,512,16000,4,5,28.28003,5.656006
2,512,16000,5,5,25.53001,5.106002
2,512,16000,6,5,20.21103,4.042206
2,512,16000,7,5,18.83101,3.766202
2,512,16000,8,5,73.59756,14.719512
2,1024,32000,1,5,764.816,152.9632
2,1024,32000,2,5,383.19679999999994,76.63935999999998
2,1024,32000,3,5,268.0934,53.61868
2,1024,32000,4,5,209.7886,41.95772
2,1024,32000,5,5,169.76850000000002,33.953700000000005
2,1024,32000,6,5,144.114,28.8228
2,1024,32000,7,5,124.2811,24.85622
2,1024,32000,8,5,114.2115,22.8423
2,2048,64000,1,5,6423.4400000000005,1284.688
2,2048,64000,2,5,3304.4089999999997,660.8817999999999
