x dist ,y dist ,func value
0 ,0 ,1.38879e-11
0 ,0.111111 ,1.93776e-09
0 ,0.222222 ,7.86556e-08
0 ,0.333333 ,9.27618e-07
0 ,0.444444 ,3.1758e-06
0 ,0.555556 ,3.17592e-06
0 ,0.666667 ,9.2769e-07
0 ,0.777778 ,7.86576e-08
0 ,0.888889 ,1.93777e-09
0 ,1 ,0
0.111111 ,0 ,1.93776e-09
0.111111 ,0.111111 ,2.70294e-07
0.111111 ,0.222222 ,1.0895e-05
0.111111 ,0.333333 ,0.000122147
0.111111 ,0.444444 ,0.000382528
0.111111 ,0.555556 ,0.000388153
0.111111 ,0.666667 ,0.000123467
0.111111 ,0.777778 ,1.09295e-05
0.111111 ,0.888889 ,2.70375e-07
0.111111 ,1 ,0
0.222222 ,0 ,7.86556e-08
0.222222 ,0.111111 ,1.0895e-05
0.222222 ,0.222222 ,0.000399902
0.222222 ,0.333333 ,0.00317599
0.222222 ,0.444444 ,0.00827507
0.222222 ,0.555556 ,0.00675454
0.222222 ,0.666667 ,0.0025686
0.222222 ,0.777778 ,0.000429723
0.222222 ,0.888889 ,1.09765e-05
0.222222 ,1 ,0
0.333333 ,0 ,9.27618e-07
0.333333 ,0.111111 ,0.000122147
0.333333 ,0.222222 ,0.00317599
0.333333 ,0.333333 ,0.0167573
0.333333 ,0.444444 ,0.0149926
0.333333 ,0.555556 ,0.025441
0.333333 ,0.666667 ,0.0778229
0.333333 ,0.777778 ,0.00912344
0.333333 ,0.888889 ,0.000129657
0.333333 ,1 ,0
0.444444 ,0 ,3.1758e-06
0.444444 ,0.111111 ,0.000382528
0.444444 ,0.222222 ,0.00827507
0.444444 ,0.333333 ,0.0149926
0.444444 ,0.444444 ,0.0334646
0.444444 ,0.555556 ,0.175359
0.444444 ,0.666667 ,0.0238707
0.444444 ,0.777778 ,0.0210218
0.444444 ,0.888889 ,0.000445618
0.444444 ,1 ,0
0.555556 ,0 ,3.17592e-06
0.555556 ,0.111111 ,0.000388153
0.555556 ,0.222222 ,0.00675454
0.555556 ,0.333333 ,0.025441
0.555556 ,0.444444 ,0.175359
0.555556 ,0.555556 ,-0.0429987
0.555556 ,0.666667 ,-0.00285845
0.555556 ,0.777778 ,3.71752e-10
0.555556 ,0.888889 ,0.000445618
0.555556 ,1 ,0
0.666667 ,0 ,9.2769e-07
0.666667 ,0.111111 ,0.000123467
0.666667 ,0.222222 ,0.0025686
0.666667 ,0.333333 ,0.0778229
0.666667 ,0.444444 ,0.0238707
0.666667 ,0.555556 ,-0.00285845
0.666667 ,0.666667 ,0.0339239
0.666667 ,0.777778 ,0.0882231
0.666667 ,0.888889 ,0.000129657
0.666667 ,1 ,0
0.777778 ,0 ,7.86576e-08
0.777778 ,0.111111 ,1.09295e-05
0.777778 ,0.222222 ,0.000429723
0.777778 ,0.333333 ,0.00912344
0.777778 ,0.444444 ,0.0210218
0.777778 ,0.555556 ,3.71752e-10
0.777778 ,0.666667 ,0.0882231
0.777778 ,0.777778 ,4.13333
0.777778 ,0.888889 ,1.09765e-05
0.777778 ,1 ,0
0.888889 ,0 ,1.93777e-09
0.888889 ,0.111111 ,2.70375e-07
0.888889 ,0.222222 ,1.09765e-05
0.888889 ,0.333333 ,0.000129657
0.888889 ,0.444444 ,0.000445618
0.888889 ,0.555556 ,0.000445618
0.888889 ,0.666667 ,0.000129657
0.888889 ,0.777778 ,1.09765e-05
0.888889 ,0.888889 ,2.70375e-07
0.888889 ,1 ,0
1 ,0 ,0
1 ,0.111111 ,0
1 ,0.222222 ,0
1 ,0.333333 ,0
1 ,0.444444 ,0
1 ,0.555556 ,0
1 ,0.666667 ,0
1 ,0.777778 ,0
1 ,0.888889 ,0
1 ,1 ,0
