x dist ,y dist ,func value
0 ,0 ,0.00256218
0 ,0.111111 ,0.00550389
0 ,0.222222 ,0.00991173
0 ,0.333333 ,0.0149239
0 ,0.444444 ,0.0185915
0 ,0.555556 ,0.0188547
0 ,0.666667 ,0.0150272
0 ,0.777778 ,0.00818607
0 ,0.888889 ,0
0 ,1 ,0.000932729
0.111111 ,0 ,0.00550389
0.111111 ,0.111111 ,0.0117506
0.111111 ,0.222222 ,0.0210669
0.111111 ,0.333333 ,0.0316778
0.111111 ,0.444444 ,0.0395812
0.111111 ,0.555556 ,0.0404403
0.111111 ,0.666667 ,0.0325394
0.111111 ,0.777778 ,0.0178683
0.111111 ,0.888889 ,0
0.111111 ,1 ,0.00201637
0.222222 ,0 ,0.00991173
0.222222 ,0.111111 ,0.0210669
0.222222 ,0.222222 ,0.0376848
0.222222 ,0.333333 ,0.0567385
0.222222 ,0.444444 ,0.0712927
0.222222 ,0.555556 ,0.0735065
0.222222 ,0.666667 ,0.0597354
0.222222 ,0.777778 ,0.033056
0.222222 ,0.888889 ,0
0.222222 ,1 ,0.00365298
0.333333 ,0 ,0.0149239
0.333333 ,0.111111 ,0.0316778
0.333333 ,0.222222 ,0.0567385
0.333333 ,0.333333 ,0.0858143
0.333333 ,0.444444 ,0.108678
0.333333 ,0.555556 ,0.113143
0.333333 ,0.666667 ,0.0927461
0.333333 ,0.777778 ,0.0516105
0.333333 ,0.888889 ,0
0.333333 ,1 ,0.00553176
0.444444 ,0 ,0.0185915
0.444444 ,0.111111 ,0.0395812
0.444444 ,0.222222 ,0.0712927
0.444444 ,0.333333 ,0.108678
0.444444 ,0.444444 ,0.138895
0.444444 ,0.555556 ,0.145791
0.444444 ,0.666667 ,0.120064
0.444444 ,0.777778 ,0.0668671
0.444444 ,0.888889 ,0
0.444444 ,1 ,0.00691613
0.555556 ,0 ,0.0188547
0.555556 ,0.111111 ,0.0404403
0.555556 ,0.222222 ,0.0735065
0.555556 ,0.333333 ,0.113143
0.555556 ,0.444444 ,0.145791
0.555556 ,0.555556 ,0.153642
0.555556 ,0.666667 ,0.126296
0.555556 ,0.777778 ,0.0699269
0.555556 ,0.888889 ,0
0.555556 ,1 ,0.00697772
0.666667 ,0 ,0.0150272
0.666667 ,0.111111 ,0.0325394
0.666667 ,0.222222 ,0.0597354
0.666667 ,0.333333 ,0.0927461
0.666667 ,0.444444 ,0.120064
0.666667 ,0.555556 ,0.126296
0.666667 ,0.666667 ,0.102974
0.666667 ,0.777778 ,0.0564139
0.666667 ,0.888889 ,0
0.666667 ,1 ,0.00549491
0.777778 ,0 ,0.00818607
0.777778 ,0.111111 ,0.0178683
0.777778 ,0.222222 ,0.033056
0.777778 ,0.333333 ,0.0516105
0.777778 ,0.444444 ,0.0668671
0.777778 ,0.555556 ,0.0699269
0.777778 ,0.666667 ,0.0564139
0.777778 ,0.777778 ,0.0305916
0.777778 ,0.888889 ,0
0.777778 ,1 ,0.00296511
0.888889 ,0 ,0
0.888889 ,0.111111 ,0
0.888889 ,0.222222 ,0
0.888889 ,0.333333 ,0
0.888889 ,0.444444 ,0
0.888889 ,0.555556 ,0
0.888889 ,0.666667 ,0
0.888889 ,0.777778 ,0
0.888889 ,0.888889 ,0
0.888889 ,1 ,0
1 ,0 ,0.000932729
1 ,0.111111 ,0.00201637
1 ,0.222222 ,0.00365298
1 ,0.333333 ,0.00553176
1 ,0.444444 ,0.00691613
1 ,0.555556 ,0.00697772
1 ,0.666667 ,0.00549491
1 ,0.777778 ,0.00296511
1 ,0.888889 ,0
1 ,1 ,0.000337573
