Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of chunk size,# of samples,total time,average time
2,512,10000,8,1,6,14.16461,2.360768333
2,512,10000,8,2,6,10.97729,1.829548333
2,512,10000,8,3,6,8.16373,1.360621667
2,512,10000,8,4,6,7.47851,1.246418333
2,512,10000,8,5,6,7.29829,1.216381667
2,512,10000,8,6,6,7.2959,1.215983333
2,512,10000,8,7,6,7.21246,1.202076667
2,512,10000,8,8,6,7.1125,1.185416667
2,512,10000,8,9,6,7.10229,1.183715
2,512,10000,8,10,6,7.31963,1.219938333
2,512,10000,8,11,6,7.22155,1.203591667
2,512,10000,8,12,6,7.35708,1.22618
2,512,10000,8,13,6,7.15677,1.192795
2,512,10000,8,14,6,7.35725,1.226208333
2,512,10000,8,15,6,7.4078,1.234633333
2,512,10000,8,16,6,7.01668,1.169446667
2,512,10000,8,17,6,7.31504,1.219173333
2,512,10000,8,18,6,7.03291,1.172151667
2,512,10000,8,19,6,7.22207,1.203678333
2,512,10000,8,20,6,7.47088,1.245146667
2,512,10000,8,21,6,6.63039,1.105065
2,512,10000,8,22,6,7.21233,1.202055
2,512,10000,8,23,6,7.4307,1.23845
2,512,10000,8,24,6,7.61371,1.268951667
2,512,10000,8,25,6,7.83897,1.306495
2,512,10000,8,26,6,7.99329,1.332215
2,512,10000,8,27,6,7.9979,1.332983333
2,512,10000,8,28,6,7.83884,1.306473333
2,512,10000,8,29,6,8.09322,1.34887
2,512,10000,8,30,6,8.18793,1.364655
2,512,10000,8,31,6,7.07692,1.179486667
2,512,10000,8,32,6,7.55265,1.258775
2,512,10000,8,33,6,6.62291,1.103818333
2,512,10000,8,34,6,7.38749,1.231248333
2,512,10000,8,35,6,7.49161,1.248601667
2,512,10000,8,36,6,7.72239,1.287065
2,512,10000,8,37,6,7.86244,1.310406667
2,512,10000,8,38,6,7.95763,1.326271667
2,512,10000,8,39,6,8.24442,1.37407
2,512,10000,8,40,6,8.36289,1.393815
2,512,10000,8,41,6,8.54759,1.424598333
2,512,10000,8,42,6,8.56542,1.42757
2,512,10000,8,43,6,8.80002,1.46667
2,512,10000,8,44,6,8.99686,1.499476667
2,512,10000,8,45,6,9.22735,1.537891667
2,512,10000,8,46,6,9.30597,1.550995
2,512,10000,8,47,6,9.34853,1.558088333
2,512,10000,8,48,6,9.50261,1.583768333
2,512,10000,8,49,6,9.7701,1.62835
2,512,10000,8,50,6,9.85848,1.64308
2,512,10000,8,51,6,9.99144,1.66524
2,512,10000,8,52,6,9.80626,1.634376667
2,512,10000,8,53,6,10.05792,1.67632
2,512,10000,8,54,6,10.19257,1.698761667
2,512,10000,8,55,6,10.39964,1.733273333
2,512,10000,8,56,6,10.50361,1.750601667
2,512,10000,8,57,6,10.34889,1.724815
2,512,10000,8,58,6,9.69829,1.616381667
2,512,10000,8,59,6,9.01137,1.501895
2,512,10000,8,60,6,8.44729,1.407881667
2,512,10000,8,61,6,7.88974,1.314956667
2,512,10000,8,62,6,7.37823,1.229705
2,512,10000,8,63,6,7.29991,1.216651667
2,512,10000,8,64,6,6.7431,1.12385
2,512,10000,8,65,6,7.45705,1.242841667
2,512,10000,8,66,6,7.55894,1.259823333
2,512,10000,8,67,6,7.48436,1.247393333
2,512,10000,8,68,6,6.91928,1.153213333
2,512,10000,8,69,6,7.15784,1.192973333
2,512,10000,8,70,6,6.9627,1.16045
2,512,10000,8,71,6,6.76524,1.12754
2,512,10000,8,72,6,7.10402,1.184003333
2,512,10000,8,73,6,7.56857,1.261428333
2,512,10000,8,74,6,8.38468,1.397446667
2,512,10000,8,75,6,8.45615,1.409358333
2,512,10000,8,76,6,8.59858,1.433096667
2,512,10000,8,77,6,8.58346,1.430576667
2,512,10000,8,78,6,8.81053,1.468421667
2,512,10000,8,79,6,8.8636,1.477266667
2,512,10000,8,80,6,8.82143,1.470238333
2,512,10000,8,81,6,7.97823,1.329705
2,512,10000,8,82,6,8.62639,1.437731667
2,512,10000,8,83,6,9.33783,1.556305
2,512,10000,8,84,6,8.87396,1.478993333
2,512,10000,8,85,6,8.2376,1.372933333
2,512,10000,8,86,6,8.49059,1.415098333
2,512,10000,8,87,6,8.48499,1.414165
2,512,10000,8,88,6,8.73057,1.455095
2,512,10000,8,89,6,8.81463,1.469105
2,512,10000,8,90,6,8.82624,1.47104
2,512,10000,8,91,6,8.80022,1.466703333
2,512,10000,8,92,6,8.96688,1.49448
2,512,10000,8,93,6,9.32408,1.554013333
2,512,10000,8,94,6,9.09445,1.515741667
2,512,10000,8,95,6,9.31499,1.552498333
2,512,10000,8,96,6,9.33208,1.555346667
2,512,10000,8,97,6,9.39174,1.56529
2,512,10000,8,98,6,9.59349,1.598915
2,512,10000,8,99,6,9.86128,1.643546667
2,512,10000,8,100,6,10.01918,1.669863333
