Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of chunk size,# of samples,total time,average time
2,512,10000,8,1,6,8.9765,1.4960833333333332
2,512,10000,8,2,6,9.35615,1.5593583333333332
2,512,10000,8,3,6,9.8874,1.6479
2,512,10000,8,4,6,10.6193,1.7698833333333335
2,512,10000,8,5,6,9.51174,1.5852899999999999
2,512,10000,8,6,6,9.59361,1.598935
2,512,10000,8,7,6,9.16517,1.5275283333333334
2,512,10000,8,8,6,9.17398,1.5289966666666668
2,512,10000,8,9,6,9.72541,1.6209016666666667
2,512,10000,8,10,6,9.04802,1.5080033333333331
2,512,10000,8,11,6,9.77014,1.6283566666666667
2,512,10000,8,12,6,9.18312,1.53052
2,512,10000,8,13,6,9.0579,1.50965
2,512,10000,8,14,6,9.10496,1.5174933333333334
2,512,10000,8,15,6,9.11861,1.5197683333333334
2,512,10000,8,16,6,10.72342,1.7872366666666668
2,512,10000,8,17,6,9.632570000000001,1.6054283333333335
2,512,10000,8,18,6,9.77593,1.6293216666666668
2,512,10000,8,19,6,9.65279,1.6087983333333333
2,512,10000,8,20,6,10.315669999999999,1.7192783333333332
2,512,10000,8,21,6,10.7783,1.7963833333333332
2,512,10000,8,22,6,10.2634,1.7105666666666668
2,512,10000,8,23,6,13.35905,2.2265083333333333
2,512,10000,8,24,6,11.63346,1.93891
2,512,10000,8,25,6,13.699259999999999,2.28321
2,512,10000,8,26,6,13.725950000000001,2.2876583333333333
2,512,10000,8,27,6,12.2645,2.0440833333333335
2,512,10000,8,28,6,11.6162,1.9360333333333333
2,512,10000,8,29,6,12.20476,2.034126666666667
2,512,10000,8,30,6,12.5154,2.0859
2,512,10000,8,31,6,11.16249,1.860415
2,512,10000,8,32,6,11.94739,1.9912316666666667
2,512,10000,8,33,6,11.55217,1.9253616666666666
2,512,10000,8,34,6,11.94344,1.9905733333333335
2,512,10000,8,35,6,12.54705,2.0911750000000002
2,512,10000,8,36,6,13.53447,2.255745
2,512,10000,8,37,6,14.92323,2.487205
2,512,10000,8,38,6,13.634129999999999,2.2723549999999997
2,512,10000,8,39,6,15.177259999999999,2.5295433333333333
2,512,10000,8,40,6,12.62625,2.104375
2,512,10000,8,41,6,13.84952,2.3082533333333335
2,512,10000,8,42,6,11.96375,1.9939583333333333
2,512,10000,8,43,6,12.373510000000001,2.062251666666667
2,512,10000,8,44,6,12.76391,2.127318333333333
2,512,10000,8,45,6,12.82071,2.136785
2,512,10000,8,46,6,15.77967,2.6299449999999998
2,512,10000,8,47,6,13.14103,2.1901716666666666
2,512,10000,8,48,6,12.36927,2.061545
2,512,10000,8,49,6,14.88383,2.4806383333333333
2,512,10000,8,50,6,12.43667,2.0727783333333334
2,512,10000,8,51,6,13.79864,2.2997733333333334
2,512,10000,8,52,6,16.28485,2.7141416666666665
2,512,10000,8,53,6,17.1279,2.85465
2,512,10000,8,54,6,17.157980000000002,2.8596633333333337
2,512,10000,8,55,6,15.57963,2.596605
2,512,10000,8,56,6,16.897869999999998,2.816311666666666
2,512,10000,8,57,6,14.32635,2.387725
2,512,10000,8,58,6,16.364179999999998,2.727363333333333
2,512,10000,8,59,6,14.85626,2.4760433333333336
2,512,10000,8,60,6,15.07957,2.5132616666666667
2,512,10000,8,61,6,15.04088,2.506813333333333
2,512,10000,8,62,6,12.215250000000001,2.0358750000000003
2,512,10000,8,63,6,12.74294,2.1238233333333336
2,512,10000,8,64,6,10.7944,1.7990666666666666
2,512,10000,8,65,6,9.56027,1.5933783333333331
2,512,10000,8,66,6,9.55942,1.5932366666666666
2,512,10000,8,67,6,10.810220000000001,1.8017033333333334
2,512,10000,8,68,6,9.53943,1.589905
2,512,10000,8,69,6,9.974050000000002,1.662341666666667
2,512,10000,8,70,6,10.877049999999999,1.8128416666666665
2,512,10000,8,71,6,10.33885,1.7231416666666668
2,512,10000,8,72,6,9.97516,1.6625266666666667
2,512,10000,8,73,6,9.98424,1.66404
2,512,10000,8,74,6,10.324480000000001,1.7207466666666669
2,512,10000,8,75,6,12.05677,2.0094616666666667
2,512,10000,8,76,6,12.72357,2.1205950000000002
2,512,10000,8,77,6,12.49596,2.08266
2,512,10000,8,78,6,11.800679999999998,1.9667799999999998
2,512,10000,8,79,6,11.56083,1.9268049999999999
2,512,10000,8,80,6,12.15054,2.02509
2,512,10000,8,81,6,12.34121,2.0568683333333335
2,512,10000,8,82,6,11.355760000000002,1.892626666666667
2,512,10000,8,83,6,11.74693,1.9578216666666668
2,512,10000,8,84,6,11.80261,1.9671016666666665
2,512,10000,8,85,6,12.485540000000002,2.0809233333333337
2,512,10000,8,86,6,13.266649999999998,2.2111083333333332
2,512,10000,8,87,6,12.416379999999998,2.0693966666666666
2,512,10000,8,88,6,12.20926,2.034876666666667
2,512,10000,8,89,6,12.43194,2.07199
2,512,10000,8,90,6,12.39143,2.0652383333333333
2,512,10000,8,91,6,12.937589999999998,2.156265
2,512,10000,8,92,6,12.79184,2.1319733333333333
2,512,10000,8,93,6,13.55751,2.259585
2,512,10000,8,94,6,14.10238,2.3503966666666667
2,512,10000,8,95,6,13.140740000000001,2.1901233333333336
2,512,10000,8,96,6,13.445319999999999,2.2408866666666665
2,512,10000,8,97,6,13.736239999999999,2.2893733333333333
2,512,10000,8,98,6,15.002260000000001,2.500376666666667
2,512,10000,8,99,6,14.613419999999998,2.43557
2,512,10000,8,100,6,15.62001,2.603335
