Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of chunk size,# of samples,total time,average time
2,512,10000,8,1,6,15.064119999999999,2.5106866666666665
2,512,10000,8,2,6,11.64318,1.9405299999999999
2,512,10000,8,3,6,10.29886,1.7164766666666667
2,512,10000,8,4,6,10.31598,1.71933
2,512,10000,8,5,6,9.1933,1.5322166666666668
2,512,10000,8,6,6,10.25001,1.708335
2,512,10000,8,7,6,9.12496,1.5208266666666665
2,512,10000,8,8,6,10.236189999999999,1.7060316666666664
2,512,10000,8,9,6,8.892420000000001,1.4820700000000002
2,512,10000,8,10,6,8.84044,1.4734066666666665
2,512,10000,8,11,6,9.249310000000001,1.5415516666666669
2,512,10000,8,12,6,10.12344,1.68724
2,512,10000,8,13,6,9.30203,1.5503383333333334
2,512,10000,8,14,6,9.54498,1.5908300000000002
2,512,10000,8,15,6,9.812050000000001,1.635341666666667
2,512,10000,8,16,6,9.30491,1.5508183333333332
2,512,10000,8,17,6,8.9575,1.4929166666666667
2,512,10000,8,18,6,9.427200000000001,1.5712000000000002
2,512,10000,8,19,6,9.705689999999999,1.6176149999999998
2,512,10000,8,20,6,9.219809999999999,1.5366349999999998
2,512,10000,8,21,6,9.262270000000001,1.5437116666666668
2,512,10000,8,22,6,8.82047,1.4700783333333334
2,512,10000,8,23,6,8.97367,1.4956116666666668
2,512,10000,8,24,6,9.28359,1.5472650000000001
2,512,10000,8,25,6,10.056970000000002,1.676161666666667
2,512,10000,8,26,6,11.50448,1.9174133333333332
2,512,10000,8,27,6,9.987350000000001,1.6645583333333336
2,512,10000,8,28,6,9.61269,1.6021150000000002
2,512,10000,8,29,6,10.076109999999998,1.6793516666666664
2,512,10000,8,30,6,10.82803,1.8046716666666667
2,512,10000,8,31,6,9.0877,1.5146166666666667
2,512,10000,8,32,6,8.33632,1.3893866666666668
2,512,10000,8,33,6,8.81574,1.46929
2,512,10000,8,34,6,8.757760000000001,1.4596266666666668
2,512,10000,8,35,6,9.2689,1.5448166666666667
2,512,10000,8,36,6,9.63697,1.6061616666666667
2,512,10000,8,37,6,9.7455,1.62425
2,512,10000,8,38,6,10.87755,1.812925
2,512,10000,8,39,6,10.38269,1.7304483333333334
2,512,10000,8,40,6,9.849889999999998,1.6416483333333332
2,512,10000,8,41,6,10.624749999999999,1.7707916666666665
2,512,10000,8,42,6,10.536930000000002,1.7561550000000004
2,512,10000,8,43,6,10.68017,1.7800283333333333
2,512,10000,8,44,6,10.34721,1.7245350000000002
2,512,10000,8,45,6,11.01824,1.8363733333333334
2,512,10000,8,46,6,10.96513,1.8275216666666667
2,512,10000,8,47,6,11.76181,1.9603016666666668
2,512,10000,8,48,6,11.956610000000001,1.9927683333333335
2,512,10000,8,49,6,11.75881,1.9598016666666667
2,512,10000,8,50,6,11.47782,1.9129699999999998
2,512,10000,8,51,6,12.10559,2.0175983333333334
2,512,10000,8,52,6,11.937719999999999,1.9896199999999997
2,512,10000,8,53,6,11.77096,1.9618266666666668
2,512,10000,8,54,6,12.040579999999999,2.0067633333333332
2,512,10000,8,55,6,12.345849999999999,2.0576416666666666
2,512,10000,8,56,6,12.54403,2.0906716666666667
2,512,10000,8,57,6,12.46457,2.077428333333333
2,512,10000,8,58,6,11.712649999999998,1.9521083333333331
2,512,10000,8,59,6,10.73186,1.7886433333333331
2,512,10000,8,60,6,10.535670000000001,1.7559450000000003
2,512,10000,8,61,6,9.877699999999999,1.646283333333333
2,512,10000,8,62,6,8.70414,1.45069
2,512,10000,8,63,6,9.06072,1.51012
2,512,10000,8,64,6,8.12644,1.3544066666666668
2,512,10000,8,65,6,8.75959,1.4599316666666666
2,512,10000,8,66,6,8.95005,1.4916749999999999
2,512,10000,8,67,6,8.93112,1.48852
2,512,10000,8,68,6,8.83417,1.4723616666666668
2,512,10000,8,69,6,8.95689,1.492815
2,512,10000,8,70,6,8.816849999999999,1.4694749999999999
2,512,10000,8,71,6,9.21186,1.53531
2,512,10000,8,72,6,9.05027,1.5083783333333332
2,512,10000,8,73,6,9.270150000000001,1.545025
2,512,10000,8,74,6,9.87124,1.6452066666666667
2,512,10000,8,75,6,9.743129999999999,1.6238549999999998
2,512,10000,8,76,6,9.627839999999999,1.6046399999999998
2,512,10000,8,77,6,9.25309,1.5421816666666668
2,512,10000,8,78,6,9.669270000000001,1.6115450000000002
2,512,10000,8,79,6,10.01616,1.66936
2,512,10000,8,80,6,9.79443,1.632405
2,512,10000,8,81,6,9.89644,1.6494066666666667
2,512,10000,8,82,6,10.03437,1.6723949999999999
2,512,10000,8,83,6,10.28657,1.7144283333333332
2,512,10000,8,84,6,10.2232,1.7038666666666666
2,512,10000,8,85,6,11.223289999999999,1.870548333333333
2,512,10000,8,86,6,11.02263,1.837105
2,512,10000,8,87,6,13.18728,2.19788
2,512,10000,8,88,6,11.568090000000002,1.9280150000000003
2,512,10000,8,89,6,10.99544,1.8325733333333334
2,512,10000,8,90,6,12.074169999999999,2.0123616666666666
2,512,10000,8,91,6,11.751,1.9585
2,512,10000,8,92,6,13.07734,2.1795566666666666
2,512,10000,8,93,6,11.34075,1.890125
2,512,10000,8,94,6,12.029090000000002,2.004848333333334
2,512,10000,8,95,6,12.430719999999997,2.071786666666666
2,512,10000,8,96,6,11.97968,1.9966133333333334
2,512,10000,8,97,6,13.94274,2.3237900000000002
2,512,10000,8,98,6,12.62228,2.1037133333333333
2,512,10000,8,99,6,12.85573,2.1426216666666664
2,512,10000,8,100,6,12.712290000000003,2.1187150000000003
