Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of chunk size,# of samples,total time,average time
2,512,10000,8,50,6,9.35297,1.5588283333333333
2,512,10000,8,100,6,9.58082,1.5968033333333331
2,512,10000,8,150,6,14.13025,2.3550416666666667
2,512,10000,8,200,6,18.42035,3.0700583333333333
2,512,10000,8,250,6,22.7038,3.7839666666666667
2,512,10000,8,300,6,26.64085,4.440141666666666
2,512,10000,8,350,6,30.998399999999997,5.166399999999999
2,512,10000,8,400,6,35.34971,5.891618333333334
2,512,10000,8,450,6,39.74794,6.624656666666667
2,512,10000,8,500,6,44.37963,7.396605
2,512,10000,8,550,6,45.298480000000005,7.5497466666666675
2,512,10000,8,600,6,45.19961,7.533268333333333
2,512,10000,8,650,6,45.09033,7.515055
2,512,10000,8,700,6,44.90865,7.484775
2,512,10000,8,750,6,45.21564,7.53594
2,512,10000,8,800,6,45.57433,7.595721666666667
2,512,10000,8,850,6,45.37455,7.562425
2,512,10000,8,900,6,45.10556,7.517593333333333
2,512,10000,8,950,6,45.96071,7.660118333333333
2,512,10000,8,1000,6,45.44981,7.5749683333333335
