Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.1825043,0.03650086
2,32,10000,2,5,0.721322,0.14426440000000001
2,32,10000,3,5,0.636128,0.1272256
2,32,10000,4,5,0.712286,0.1424572
2,32,10000,5,5,0.643888,0.1287776
2,32,10000,6,5,0.665683,0.1331366
2,32,10000,7,5,0.6317016,0.12634032
2,32,10000,8,5,0.630742,0.1261484
2,64,10000,1,5,0.600854,0.1201708
2,64,10000,2,5,1.799456,0.35989119999999997
2,64,10000,3,5,1.50711,0.30142199999999997
2,64,10000,4,5,1.082781,0.2165562
2,64,10000,5,5,1.210362,0.2420724
2,64,10000,6,5,0.96077,0.192154
2,64,10000,7,5,1.11606,0.22321200000000002
2,64,10000,8,5,1.065524,0.21310479999999998
2,128,10000,1,5,2.281181,0.45623620000000004
2,128,10000,2,5,4.9797080000000005,0.9959416000000001
2,128,10000,3,5,3.091241,0.6182482
2,128,10000,4,5,2.249624,0.44992479999999996
2,128,10000,5,5,1.294881,0.2589762
2,128,10000,6,5,1.011369,0.2022738
2,128,10000,7,5,0.991094,0.1982188
2,128,10000,8,5,0.940354,0.1880708
2,256,10000,1,5,8.93826,1.787652
2,256,10000,2,5,11.52897,2.3057939999999997
2,256,10000,3,5,8.97294,1.7945879999999998
2,256,10000,4,5,7.835659999999999,1.5671319999999997
2,256,10000,5,5,6.65546,1.331092
2,256,10000,6,5,5.8274029999999994,1.1654806
2,256,10000,7,5,4.244068,0.8488136000000001
2,256,10000,8,5,2.7219949999999997,0.544399
2,512,10000,1,5,37.6529,7.5305800000000005
2,512,10000,2,5,36.82573,7.365146
2,512,10000,3,5,15.24488,3.048976
2,512,10000,4,5,14.070409999999999,2.814082
2,512,10000,5,5,17.021729999999998,3.4043459999999994
2,512,10000,6,5,15.129880000000002,3.0259760000000004
2,512,10000,7,5,13.04514,2.609028
2,512,10000,8,5,11.71215,2.34243
2,1024,10000,1,5,150.3063,30.061259999999997
2,1024,10000,2,5,88.0466,17.60932
2,1024,10000,3,5,60.2002,12.040040000000001
2,1024,10000,4,5,46.05615999999999,9.211231999999999
2,1024,10000,5,5,35.01357,7.002714
2,1024,10000,6,5,32.061949999999996,6.412389999999999
2,1024,10000,7,5,25.68544,5.137088
2,1024,10000,8,5,28.76775,5.75355
2,2048,10000,1,5,615.6179999999999,123.12359999999998
2,2048,10000,2,5,365.7909,73.15818
2,2048,10000,3,5,239.89030000000002,47.978060000000006
2,2048,10000,4,5,179.59350000000003,35.91870000000001
2,2048,10000,5,5,145.82080000000002,29.164160000000003
2,2048,10000,6,5,122.66380000000001,24.532760000000003
2,2048,10000,7,5,106.3778,21.27556
2,2048,10000,8,5,97.94749999999999,19.589499999999997
