Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.1575445,0.0315089
2,32,10000,2,5,0.2461666,0.049233320000000004
2,32,10000,3,5,0.33457320000000007,0.06691464000000001
2,32,10000,4,5,0.3817198,0.07634396
2,32,10000,5,5,0.43471950000000004,0.0869439
2,32,10000,6,5,0.4721989,0.09443978
2,32,10000,7,5,0.494547,0.09890940000000001
2,32,10000,8,5,0.529303,0.1058606
2,64,10000,1,5,0.5424260000000001,0.10848520000000002
2,64,10000,2,5,0.581294,0.1162588
2,64,10000,3,5,0.5227411000000001,0.10454822000000001
2,64,10000,4,5,0.5022097,0.10044194
2,64,10000,5,5,0.5272755,0.1054551
2,64,10000,6,5,0.536325,0.10726500000000001
2,64,10000,7,5,0.5592860000000001,0.11185720000000002
2,64,10000,8,5,0.5905529999999999,0.11811059999999998
2,128,10000,1,5,2.191846,0.4383692
2,128,10000,2,5,1.4965119999999998,0.29930239999999997
2,128,10000,3,5,1.267004,0.2534008
2,128,10000,4,5,1.097604,0.21952080000000002
2,128,10000,5,5,1.016492,0.2032984
2,128,10000,6,5,0.97828,0.195656
2,128,10000,7,5,0.9017959999999999,0.1803592
2,128,10000,8,5,0.8938119999999999,0.1787624
2,256,10000,1,5,8.98937,1.7978739999999998
2,256,10000,2,5,5.3768,1.07536
2,256,10000,3,5,4.067036,0.8134072
2,256,10000,4,5,3.266823,0.6533646
2,256,10000,5,5,2.769118,0.5538236000000001
2,256,10000,6,5,2.4234579999999997,0.48469159999999994
2,256,10000,7,5,2.216464,0.44329280000000004
2,256,10000,8,5,2.0155510000000003,0.4031102000000001
2,512,10000,1,5,38.05887,7.611774
2,512,10000,2,5,19.79568,3.959136
2,512,10000,3,5,14.0644,2.81288
2,512,10000,4,5,11.03343,2.206686
2,512,10000,5,5,8.977809999999998,1.7955619999999997
2,512,10000,6,5,7.671799999999999,1.53436
2,512,10000,7,5,6.74707,1.349414
2,512,10000,8,5,6.004630000000001,1.2009260000000002
2,1024,10000,1,5,154.1288,30.825760000000002
2,1024,10000,2,5,77.6803,15.53606
2,1024,10000,3,5,54.274699999999996,10.85494
2,1024,10000,4,5,40.16362,8.032724
2,1024,10000,5,5,33.32296,6.664592000000001
2,1024,10000,6,5,27.305530000000005,5.461106000000001
2,1024,10000,7,5,23.83965,4.76793
2,1024,10000,8,5,20.60454,4.120908
2,2048,10000,1,5,623.141,124.62819999999999
2,2048,10000,2,5,314.5997,62.91994
2,2048,10000,3,5,210.306,42.0612
2,2048,10000,4,5,155.2738,31.054759999999998
2,2048,10000,5,5,125.26910000000001,25.05382
2,2048,10000,6,5,104.20240000000001,20.840480000000003
2,2048,10000,7,5,89.6339,17.92678
2,2048,10000,8,5,78.9,15.780000000000001
