Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.1546817,0.03093634
2,32,10000,2,5,0.21527290000000002,0.04305458
2,32,10000,3,5,0.20184190000000002,0.04036838
2,32,10000,4,5,0.2035197,0.04070394
2,32,10000,5,5,0.2241277,0.044825540000000004
2,32,10000,6,5,0.21902919999999998,0.04380584
2,32,10000,7,5,0.24938539999999998,0.04987708
2,32,10000,8,5,0.27572060000000004,0.055144120000000005
2,64,10000,1,5,0.532494,0.1064988
2,64,10000,2,5,0.531964,0.1063928
2,64,10000,3,5,0.4030595,0.0806119
2,64,10000,4,5,0.359735,0.07194700000000001
2,64,10000,5,5,0.3047681,0.06095362
2,64,10000,6,5,0.2911486,0.05822972
2,64,10000,7,5,0.31547340000000007,0.06309468000000001
2,64,10000,8,5,0.31592149999999997,0.0631843
2,128,10000,1,5,2.1552010000000004,0.4310402000000001
2,128,10000,2,5,1.4526379999999999,0.2905276
2,128,10000,3,5,0.994423,0.1988846
2,128,10000,4,5,0.8223670000000001,0.16447340000000002
2,128,10000,5,5,0.707597,0.14151940000000002
2,128,10000,6,5,0.6449639999999999,0.12899279999999996
2,128,10000,7,5,0.6124539999999999,0.12249079999999998
2,128,10000,8,5,0.578143,0.1156286
2,256,10000,1,5,8.692820000000001,1.7385640000000002
2,256,10000,2,5,5.2243699999999995,1.0448739999999999
2,256,10000,3,5,3.598624,0.7197248
2,256,10000,4,5,2.701536,0.5403072
2,256,10000,5,5,2.294338,0.45886760000000004
2,256,10000,6,5,1.8727800000000001,0.374556
2,256,10000,7,5,1.715627,0.3431254
2,256,10000,8,5,1.541109,0.3082218
2,512,10000,1,5,36.275710000000004,7.255142000000001
2,512,10000,2,5,19.69448,3.9388959999999997
2,512,10000,3,5,13.32964,2.665928
2,512,10000,4,5,10.15799,2.031598
2,512,10000,5,5,8.25423,1.650846
2,512,10000,6,5,6.98789,1.397578
2,512,10000,7,5,6.07526,1.215052
2,512,10000,8,5,5.272106,1.0544212
2,1024,10000,1,5,147.9426,29.58852
2,1024,10000,2,5,75.68469999999999,15.13694
2,1024,10000,3,5,50.441100000000006,10.088220000000002
2,1024,10000,4,5,38.130630000000004,7.626126000000001
2,1024,10000,5,5,31.577619999999996,6.315523999999999
2,1024,10000,6,5,26.1677,5.23354
2,1024,10000,7,5,22.545810000000003,4.509162000000001
2,1024,10000,8,5,19.82585,3.9651699999999996
2,2048,10000,1,5,609.469,121.89380000000001
2,2048,10000,2,5,308.3652,61.67304
2,2048,10000,3,5,209.20039999999997,41.84007999999999
2,2048,10000,4,5,157.55769999999998,31.511539999999997
2,2048,10000,5,5,126.85990000000001,25.37198
2,2048,10000,6,5,107.45570000000001,21.49114
2,2048,10000,7,5,92.48689999999999,18.49738
2,2048,10000,8,5,82.1141,16.422819999999998
