Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.02434507,0.004869014
2,32,1000,2,5,0.01822362,0.003644724
2,32,1000,3,5,0.01591107,0.003182214
2,32,1000,4,5,0.0153395,0.0030679
2,32,1000,5,5,0.01460254,0.002920508
2,32,1000,6,5,0.013579960000000002,0.0027159920000000004
2,32,1000,7,5,0.013720750000000002,0.0027441500000000003
2,32,1000,8,5,0.01398106,0.002796212
2,64,2000,1,5,0.17254839999999996,0.034509679999999994
2,64,2000,2,5,0.1027406,0.02054812
2,64,2000,3,5,0.0778717,0.01557434
2,64,2000,4,5,0.06650980000000001,0.013301960000000002
2,64,2000,5,5,0.0588462,0.01176924
2,64,2000,6,5,0.054196299999999996,0.01083926
2,64,2000,7,5,0.04879291,0.009758582
2,64,2000,8,5,0.0458114,0.00916228
2,128,4000,1,5,1.375659,0.2751318
2,128,4000,2,5,0.737501,0.1475002
2,128,4000,3,5,0.520795,0.104159
2,128,4000,4,5,0.4213332,0.08426664
2,128,4000,5,5,0.3464486,0.06928972
2,128,4000,6,5,0.29878350000000004,0.05975670000000001
2,128,4000,7,5,0.261636,0.0523272
2,128,4000,8,5,0.23795269999999996,0.047590539999999994
2,256,8000,1,5,11.080380000000002,2.216076
2,256,8000,2,5,5.821210000000001,1.1642420000000002
2,256,8000,3,5,4.021952,0.8043904
2,256,8000,4,5,3.168053,0.6336106
2,256,8000,5,5,2.5917179999999997,0.5183435999999999
2,256,8000,6,5,2.202075,0.44041499999999995
2,256,8000,7,5,1.910363,0.3820726
2,256,8000,8,5,1.661507,0.3323014
2,512,16000,1,5,89.92439999999999,17.984879999999997
2,512,16000,2,5,46.6374,9.32748
2,512,16000,3,5,32.39859,6.479718
2,512,16000,4,5,25.1252,5.02504
2,512,16000,5,5,20.63786,4.127572
2,512,16000,6,5,17.18228,3.4364559999999997
2,512,16000,7,5,14.858419999999999,2.9716839999999998
2,512,16000,8,5,13.16682,2.633364
2,32,1000,1,5,0.03641944,0.007283888
2,32,1000,2,5,0.02170419,0.0043408380000000005
2,32,1000,3,5,0.0159807,0.00319614
2,32,1000,4,5,0.01660411,0.0033208219999999997
2,32,1000,5,5,0.01444371,0.002888742
2,32,1000,6,5,0.01348968,0.002697936
2,32,1000,7,5,0.015214940000000001,0.0030429880000000004
2,32,1000,8,5,0.013728750000000001,0.0027457500000000004
2,64,2000,1,5,0.1522745,0.0304549
2,64,2000,2,5,0.1071659,0.02143318
2,64,2000,3,5,0.08877149999999999,0.017754299999999997
2,64,2000,4,5,0.0815584,0.016311680000000002
2,64,2000,5,5,0.0684669,0.01369338
2,64,2000,6,5,0.059725400000000005,0.01194508
2,64,2000,7,5,0.04364751,0.008729502
2,64,2000,8,5,0.04279877,0.008559754
2,128,4000,1,5,1.228735,0.245747
2,128,4000,2,5,0.660223,0.1320446
2,128,4000,3,5,0.4823353,0.09646706000000001
2,128,4000,4,5,0.3775604,0.07551208000000001
2,128,4000,5,5,0.3089547,0.06179094
2,128,4000,6,5,0.2812376,0.056247519999999995
2,128,4000,7,5,0.325539,0.06510780000000001
2,128,4000,8,5,0.2271056,0.045421119999999995
2,256,8000,1,5,9.93187,1.986374
2,256,8000,2,5,5.095070000000001,1.019014
2,256,8000,3,5,3.42292,0.684584
2,256,8000,4,5,2.609163,0.5218326
2,256,8000,5,5,2.1337580000000003,0.42675160000000006
2,256,8000,6,5,1.801552,0.36031040000000003
2,256,8000,7,5,1.711386,0.3422772
2,256,8000,8,5,1.3881240000000001,0.2776248
2,512,16000,1,5,79.4624,15.89248
2,512,16000,2,5,40.47783999999999,8.095567999999998
2,512,16000,3,5,27.04401,5.408802
2,512,16000,4,5,20.49954,4.099908
2,512,16000,5,5,16.4525,3.2905
2,512,16000,6,5,13.94805,2.78961
2,512,16000,7,5,12.135430000000001,2.427086
2,512,16000,8,5,10.488389999999999,2.0976779999999997
2,1024,32000,1,5,631.908,126.3816
2,1024,32000,2,5,321.8134,64.36268
2,1024,32000,3,5,216.8035,43.3607
2,1024,32000,4,5,162.7563,32.55126
2,1024,32000,5,5,130.5019,26.10038
2,1024,32000,6,5,108.69040000000001,21.738080000000004
2,1024,32000,7,5,93.4622,18.692439999999998
2,1024,32000,8,5,82.26530000000001,16.45306
2,2048,64000,1,5,5168.370000000001,1033.6740000000002
2,2048,64000,2,5,2577.4649999999997,515.4929999999999
2,2048,64000,3,5,1748.673,349.7346
2,2048,64000,4,5,1319.226,263.84520000000003
2,2048,64000,5,5,1060.5330000000001,212.10660000000001
2,2048,64000,6,5,889.8990000000001,177.9798
2,2048,64000,7,5,767.928,153.5856
2,2048,64000,8,5,679.726,135.9452
