Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.2605477,0.052109539999999996
2,32,10000,2,5,0.2788212,0.05576424
2,32,10000,3,5,0.2720213,0.05440426
2,32,10000,4,5,0.2686516,0.05373032
2,32,10000,5,5,0.270796,0.0541592
2,32,10000,6,5,0.2721062,0.05442124
2,32,10000,7,5,0.28207560000000004,0.056415120000000006
2,32,10000,8,5,0.2951957,0.059039140000000004
2,64,10000,1,5,0.8041590000000001,0.16083180000000002
2,64,10000,2,5,0.710857,0.1421714
2,64,10000,3,5,0.645297,0.1290594
2,64,10000,4,5,0.578707,0.1157414
2,64,10000,5,5,0.528059,0.10561179999999999
2,64,10000,6,5,0.48675050000000003,0.09735010000000001
2,64,10000,7,5,0.47264959999999995,0.09452991999999999
2,64,10000,8,5,0.4787132,0.09574264
2,128,10000,1,5,3.157869,0.6315738
2,128,10000,2,5,2.084848,0.4169696
2,128,10000,3,5,1.5880180000000002,0.31760360000000004
2,128,10000,4,5,1.2471119999999998,0.24942239999999996
2,128,10000,5,5,1.089108,0.2178216
2,128,10000,6,5,0.93495,0.18699
2,128,10000,7,5,0.835602,0.1671204
2,128,10000,8,5,0.800345,0.160069
2,256,10000,1,5,12.62118,2.524236
2,256,10000,2,5,7.11737,1.4234740000000001
2,256,10000,3,5,4.971771,0.9943542000000001
2,256,10000,4,5,3.8253820000000003,0.7650764000000001
2,256,10000,5,5,3.15461,0.630922
2,256,10000,6,5,2.6995029999999995,0.5399006
2,256,10000,7,5,2.3923959999999997,0.47847919999999994
2,256,10000,8,5,2.1399190000000003,0.4279838000000001
2,512,10000,1,5,50.359300000000005,10.071860000000001
2,512,10000,2,5,26.78116,5.356232
2,512,10000,3,5,18.33618,3.667236
2,512,10000,4,5,13.8747,2.77494
2,512,10000,5,5,11.142110000000002,2.2284220000000006
2,512,10000,6,5,9.370569999999999,1.8741139999999998
2,512,10000,7,5,8.14757,1.629514
2,512,10000,8,5,7.885859999999999,1.5771719999999998
2,1024,10000,1,5,203.5117,40.70234
2,1024,10000,2,5,104.5158,20.90316
2,1024,10000,3,5,70.66159999999999,14.132319999999998
2,1024,10000,4,5,53.2448,10.648959999999999
2,1024,10000,5,5,42.83282,8.566564
2,1024,10000,6,5,35.79217,7.158434
2,1024,10000,7,5,30.887369999999997,6.177473999999999
2,1024,10000,8,5,27.508580000000002,5.501716
2,2048,10000,1,5,823.279,164.6558
2,2048,10000,2,5,429.32800000000003,85.8656
2,2048,10000,3,5,291.4394,58.287879999999994
2,2048,10000,4,5,219.7064,43.94128
2,2048,10000,5,5,177.04840000000002,35.40968
2,2048,10000,6,5,148.40159999999997,29.680319999999995
2,2048,10000,7,5,128.1671,25.63342
2,2048,10000,8,5,115.5159,23.103180000000002
