Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.028161079999999998,0.005632216
2,32,1000,2,5,0.025478019999999997,0.005095603999999999
2,32,1000,3,5,0.02624142,0.005248284000000001
2,32,1000,4,5,0.02667966,0.005335932
2,32,1000,5,5,0.027052720000000002,0.005410544000000001
2,32,1000,6,5,0.027497610000000002,0.005499522000000001
2,32,1000,7,5,0.0267919,0.00535838
2,32,1000,8,5,0.02701192,0.005402384
2,64,2000,1,5,0.18335619999999997,0.036671239999999994
2,64,2000,2,5,0.1363283,0.027265660000000004
2,64,2000,3,5,0.1213655,0.0242731
2,64,2000,4,5,0.1091426,0.02182852
2,64,2000,5,5,0.10012510000000001,0.02002502
2,64,2000,6,5,0.0926802,0.01853604
2,64,2000,7,5,0.0876154,0.01752308
2,64,2000,8,5,0.08376499999999999,0.016752999999999997
2,128,4000,1,5,1.413821,0.2827642
2,128,4000,2,5,0.857947,0.1715894
2,128,4000,3,5,0.645744,0.1291488
2,128,4000,4,5,0.52327,0.104654
2,128,4000,5,5,0.44319929999999996,0.08863985999999999
2,128,4000,6,5,0.38340469999999993,0.07668093999999999
2,128,4000,7,5,0.34423800000000004,0.06884760000000001
2,128,4000,8,5,0.3140277,0.06280554
2,256,8000,1,5,11.28504,2.257008
2,256,8000,2,5,6.2143,1.2428599999999999
2,256,8000,3,5,4.36967,0.873934
2,256,8000,4,5,3.4773880000000004,0.6954776
2,256,8000,5,5,2.85305,0.5706100000000001
2,256,8000,6,5,2.417887,0.4835774
2,256,8000,7,5,2.1040989999999997,0.42081979999999997
2,256,8000,8,5,1.854346,0.3708692
2,512,16000,1,5,91.2694,18.253880000000002
2,512,16000,2,5,50.05995,10.01199
2,512,16000,3,5,35.984480000000005,7.196896000000001
2,512,16000,4,5,27.15267,5.430534
2,512,16000,5,5,21.79798,4.359596
2,512,16000,6,5,18.22524,3.645048
2,512,16000,7,5,15.762,3.1524
2,512,16000,8,5,13.96817,2.793634
2,1024,32000,1,5,765.5300000000001,153.10600000000002
2,1024,32000,2,5,388.1027,77.62054
2,1024,32000,3,5,263.6376,52.727520000000005
2,1024,32000,4,5,210.7851,42.15702
2,1024,32000,5,5,172.7508,34.55016
2,1024,32000,6,5,143.4109,28.68218
2,1024,32000,7,5,121.49220000000001,24.298440000000003
2,1024,32000,8,5,108.18619999999999,21.63724
2,2048,64000,1,5,5959.24,1191.848
2,2048,64000,2,5,3080.725,616.145
