Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.02481257,0.0049625139999999995
2,32,1000,2,5,0.0205505,0.0041101
2,32,1000,3,5,1.51600861,0.303201722
2,32,1000,4,5,2.9573864000000003,0.5914772800000001
2,32,1000,5,5,11.54572098,2.309144196
2,32,1000,6,5,2.09998455,0.41999690999999995
2,32,1000,7,5,6.972671999999999,1.3945344
2,32,1000,8,5,5.9757497,1.1951499399999999
2,64,2000,1,5,0.1894441,0.037888820000000004
2,64,2000,2,5,0.12095769999999999,0.024191539999999997
2,64,2000,3,5,4.0817929,0.81635858
2,64,2000,4,5,4.751583999999999,0.9503167999999999
2,64,2000,5,5,0.7371538000000001,0.14743076000000002
2,64,2000,6,5,5.696395,1.139279
2,64,2000,7,5,9.827192499999999,1.9654384999999999
2,64,2000,8,5,11.715665999999999,2.3431331999999996
2,128,4000,1,5,1.5350700000000002,0.307014
2,128,4000,2,5,0.8437349999999999,0.16874699999999998
2,128,4000,3,5,3.784764,0.7569528
2,128,4000,4,5,4.806819,0.9613638
2,128,4000,5,5,5.126405,1.025281
2,128,4000,6,5,7.4706150000000004,1.494123
2,128,4000,7,5,4.3550249999999995,0.8710049999999999
2,128,4000,8,5,3.6084210000000003,0.7216842000000001
2,256,8000,1,5,12.41794,2.483588
2,256,8000,2,5,6.5461,1.30922
2,256,8000,3,5,5.660706,1.1321412
2,256,8000,4,5,8.394959,1.6789918
2,256,8000,5,5,7.142170999999999,1.4284341999999999
2,256,8000,6,5,2.695034,0.5390068
2,256,8000,7,5,2.647709,0.5295418
2,256,8000,8,5,2.890879,0.5781758
2,512,16000,1,5,93.619,18.7238
2,512,16000,2,5,48.25486,9.650972
2,512,16000,3,5,33.53893,6.7077860000000005
2,512,16000,4,5,29.14884,5.829768
2,512,16000,5,5,23.08771,4.617542
2,512,16000,6,5,19.602829999999997,3.9205659999999996
2,512,16000,7,5,27.837649999999996,5.56753
2,512,16000,8,5,21.19014,4.238028
2,1024,32000,1,5,760.647,152.1294
2,1024,32000,2,5,381.0154,76.20308
2,1024,32000,3,5,279.6727,55.934540000000005
2,1024,32000,4,5,215.59480000000002,43.11896
2,1024,32000,5,5,170.26199999999997,34.05239999999999
2,1024,32000,6,5,142.4316,28.48632
2,1024,32000,7,5,141.08180000000002,28.21636
2,1024,32000,8,5,154.5497,30.90994
2,2048,64000,1,5,6305.59,1261.118
2,2048,64000,2,5,3220.169,644.0337999999999
