Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,10000,1,5,0.23246140000000004,0.04649228000000001
2,32,10000,2,5,0.1859434,0.03718868
2,32,10000,3,5,0.15968449999999998,0.0319369
2,32,10000,4,5,0.1511985,0.0302397
2,32,10000,5,5,0.1442542,0.02885084
2,32,10000,6,5,0.13975379999999998,0.027950759999999998
2,32,10000,7,5,0.1432446,0.02864892
2,32,10000,8,5,0.1379387,0.02758774
2,64,10000,1,5,0.9025700000000001,0.180514
2,64,10000,2,5,0.537191,0.1074382
2,64,10000,3,5,0.40527250000000004,0.0810545
2,64,10000,4,5,0.3375912,0.06751824
2,64,10000,5,5,0.2993731,0.05987462
2,64,10000,6,5,0.2743366,0.05486732
2,64,10000,7,5,0.25139500000000004,0.050279000000000004
2,64,10000,8,5,0.241998,0.0483996
2,128,10000,1,5,3.672541,0.7345081999999999
2,128,10000,2,5,1.977974,0.39559479999999997
2,128,10000,3,5,1.374073,0.2748146
2,128,10000,4,5,1.075713,0.2151426
2,128,10000,5,5,0.86901,0.17380199999999998
2,128,10000,6,5,0.750878,0.15017560000000002
2,128,10000,7,5,0.6663309999999999,0.13326619999999997
2,128,10000,8,5,0.623881,0.1247762
2,256,10000,1,5,14.942499999999999,2.9884999999999997
2,256,10000,2,5,7.8015099999999995,1.5603019999999999
2,256,10000,3,5,5.335990000000001,1.067198
2,256,10000,4,5,4.046626,0.8093252
2,256,10000,5,5,3.247083,0.6494166
2,256,10000,6,5,2.754017,0.5508034
2,256,10000,7,5,2.397199,0.4794398
2,256,10000,8,5,2.095552,0.4191104
2,512,10000,1,5,60.6421,12.12842
2,512,10000,2,5,31.28935,6.25787
2,512,10000,3,5,21.17609,4.235218
2,512,10000,4,5,15.99747,3.199494
2,512,10000,5,5,12.80614,2.561228
2,512,10000,6,5,10.70644,2.1412880000000003
2,512,10000,7,5,9.23014,1.846028
2,512,10000,8,5,8.10225,1.62045
2,1024,10000,1,5,212.31300000000002,42.4626
2,1024,10000,2,5,110.5636,22.11272
2,1024,10000,3,5,75.4868,15.09736
2,1024,10000,4,5,56.824000000000005,11.3648
2,1024,10000,5,5,45.68733,9.137466
2,1024,10000,6,5,38.15044,7.630088000000001
2,1024,10000,7,5,32.60637,6.521274
2,1024,10000,8,5,28.81684,5.763368
2,2048,10000,1,5,831.152,166.2304
2,2048,10000,2,5,433.9038,86.78076
2,2048,10000,3,5,297.6468,59.52936
2,2048,10000,4,5,225.7302,45.14604
2,2048,10000,5,5,184.9257,36.98514
2,2048,10000,6,5,160.0305,32.006099999999996
2,2048,10000,7,5,143.9255,28.7851
2,2048,10000,8,5,134.1629,26.83258
2,4096,10000,1,5,2852.1910000000003,570.4382
2,4096,10000,2,5,1486.5510000000002,297.3102
2,4096,10000,3,5,1031.278,206.25560000000002
2,4096,10000,4,5,788.391,157.6782
2,4096,10000,5,5,661.759,132.3518
2,4096,10000,6,5,593.801,118.76020000000001
2,4096,10000,7,5,550.648,110.12960000000001
2,4096,10000,8,5,527.2320000000001,105.44640000000001
