Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.023134520000000002,0.004626904
2,32,1000,2,5,0.01820732,0.0036414639999999996
2,32,1000,3,5,0.01693812,0.003387624
2,32,1000,4,5,0.01809208,0.003618416
2,32,1000,5,5,0.01610999,0.0032219980000000002
2,32,1000,6,5,0.0266323,0.00532646
2,32,1000,7,5,0.24752034000000003,0.049504068000000005
2,32,1000,8,5,1.6332309999999999,0.3266462
2,64,2000,1,5,0.1784327,0.03568654
2,64,2000,2,5,0.1045696,0.02091392
2,64,2000,3,5,0.07911910000000001,0.015823820000000002
2,64,2000,4,5,0.0781512,0.01563024
2,64,2000,5,5,0.06378,0.012756
2,64,2000,6,5,0.072299,0.0144598
2,64,2000,7,5,0.7828373,0.15656746
2,64,2000,8,5,1.1525989,0.23051978
2,128,4000,1,5,1.390712,0.2781424
2,128,4000,2,5,0.744056,0.1488112
2,128,4000,3,5,0.5263410000000001,0.1052682
2,128,4000,4,5,0.42745429999999995,0.08549085999999999
2,128,4000,5,5,0.35171119999999995,0.07034223999999999
2,128,4000,6,5,0.3068211,0.061364220000000004
2,128,4000,7,5,0.8673133,0.17346266
2,128,4000,8,5,2.089193,0.41783859999999995
2,256,8000,1,5,11.24672,2.249344
2,256,8000,2,5,5.92844,1.185688
2,256,8000,3,5,4.176642,0.8353284000000001
2,256,8000,4,5,3.211339,0.6422678
2,256,8000,5,5,2.6422039999999996,0.5284407999999999
2,256,8000,6,5,2.214433,0.4428866
2,256,8000,7,5,4.5096229999999995,0.9019245999999999
2,256,8000,8,5,10.474029000000002,2.0948058000000005
2,512,16000,1,5,91.12049999999999,18.2241
2,512,16000,2,5,47.76915,9.553830000000001
2,512,16000,3,5,33.34222,6.668443999999999
2,512,16000,4,5,25.391619999999996,5.078323999999999
2,512,16000,5,5,20.412929999999996,4.082585999999999
2,512,16000,6,5,17.19971,3.439942
2,512,16000,7,5,20.08473,4.016946
2,512,16000,8,5,44.05218,8.810436
2,1024,32000,1,5,733.625,146.725
2,1024,32000,2,5,408.7632,81.75264
2,1024,32000,3,5,284.09000000000003,56.818000000000005
2,1024,32000,4,5,215.4284,43.08568
2,1024,32000,5,5,169.7038,33.94076
2,1024,32000,6,5,141.0133,28.202659999999998
2,1024,32000,7,5,122.8858,24.57716
2,1024,32000,8,5,123.9074,24.78148
2,2048,64000,1,5,6476.280000000001,1295.256
2,2048,64000,2,5,3317.058,663.4116
